rank,model,family,notes,n_points,n_galaxies,n_params,a0_mps2,log10_a0,shape_param,shape_label,transition_width_decades,chi2,chi2_red,rms_scatter_dex,intrinsic_scatter_dex,loglike,bic,delta_bic
1,generalized_exponential,generalized exponential,Free sharpness n; n=1 recovers the McGaugh exponential RAR.,3269,163,3,9.567471682913024e-11,-10.01920281449388,0.8549139634213995,sharpness n,2.905145708043286,3577.738818989511,1.09544973024786,0.1807789224460925,0.13147306833552316,1463.0228181713412,-2901.76891812251,0.0
2,simple_mu,simple MOND,Exact equivalent of the Bekenstein toy / simple mu(x)=x/(1+x) law.,3269,163,2,1.095249708887408e-10,-9.96048685358335,,,2.6253668295319095,3576.7319120926063,1.0948062173531088,0.1811798749661165,0.13186537914814372,1455.2852173438953,-2894.385955874341,7.382962248168951
3,mcgaugh_rar_exp,RAR exponential,McGaugh et al. exponential RAR; exact n=1 case of the generalized exponential family.,3269,163,2,1.121945914118421e-10,-9.950028078700253,,,2.4836497291383584,3574.8857628035416,1.0942411272738113,0.1812567028757345,0.1319497597916562,1454.43829084151,-2892.692102869571,9.076815252939014
4,standard_mu,standard MOND,Canonical mu(x)=x/sqrt(1+x^2) form written in nu(y) form.,3269,163,2,1.5564784646392808e-10,-9.807856883817333,,,1.3126838724199157,3536.978957245294,1.082638187096815,0.18655151920855859,0.1395193027633199,1318.1537507627986,-2620.123022712148,281.64589541036185
