galaxy,Q,T,D_mpc,e_D_mpc,distance_frac_error,Inc_deg,e_Inc_deg,SBeff_Lsun_pc2,Rdisk_kpc,Vflat_kms,Vmax_kms,n_points,mean_frac_v_error,median_frac_v_error,L36_1e9Lsun,Lbul_1e9Lsun,Mstar_1e9Msun,Mgas_1e9Msun,Mbar_1e9Msun,gas_fraction,mean_residual_dex,median_residual_dex,std_residual_dex,eenv,eenv_err_lo,eenv_err_hi,x0_chae2020,x0_missing_flag,galaxy_raw_chae2020
NGC6503,1.0,6.0,6.26,0.31,0.04952076677316294,74.0,2.0,774.16,2.16,116.3,121.0,31.0,0.021945962650033197,0.017241379310344827,12.845,0.0,6.4225,2.3195200000000002,8.74202,0.26532998094261967,-0.003721094865251324,0.00022749193818150104,0.037972673643352335,0.029,0.003,0.003,-11.156,0,NGC 6503
NGC6674,1.0,3.0,51.2,10.2,0.19921874999999997,54.0,6.0,560.83,6.04,241.3,291.0,15.0,0.03684032381876401,0.00851063829787234,214.654,17.2096,110.76892,42.779450000000004,153.54837,0.278605692785928,0.06474715666044221,0.04203127546837493,0.06806212234635442,0.03,0.005,0.007,-10.613,0,NGC 6674
NGC6789,2.0,11.0,3.52,0.18,0.05113636363636363,43.0,7.0,59.27,0.31,0.0,60.4,4.0,0.1626965608391372,0.1433664090013068,0.1,0.0,0.05,0.02261,0.07261000000000001,0.3113896157554056,0.2930823377914229,0.2654755093166452,0.1585336968613083,0.034,0.005,0.005,-10.543,0,NGC 6789
NGC6946,1.0,6.0,5.52,1.66,0.3007246376811594,38.0,2.0,571.26,2.44,158.9,181.0,58.0,0.039201459611792534,0.029548819789216967,66.173,4.102,33.9069,7.5411,41.448,0.18194122756224668,-0.0794560310731901,-0.07645212303354132,0.02925946007531574,0.086,0.028,0.042,-10.232,0,NGC 6946
NGC7331,1.0,3.0,14.7,1.5,0.10204081632653061,75.0,2.0,2470.76,5.02,239.0,257.0,36.0,0.021373581746286563,0.019455252918287938,250.631,11.5982,127.63514,14.71911,142.35425,0.10339775595038433,-0.07996843868498438,-0.07755234320496118,0.03460539224130673,0.109,0.032,0.045,-10.246,0,NGC 7331
NGC7793,1.0,7.0,3.61,0.18,0.04986149584487535,47.0,9.0,233.79,1.21,0.0,116.0,46.0,0.13150058386212185,0.08934255649676115,7.05,0.0,3.525,1.14513,4.67013,0.2452030243269459,-0.04299391711419705,-0.01714518489773642,0.15893383830940203,0.077,0.033,0.059,-10.476,0,NGC 7793
NGC7814,1.0,2.0,14.4,0.66,0.04583333333333334,90.0,1.0,2709.13,2.54,218.9,265.0,18.0,0.024274655697471982,0.022484013772749632,74.529,50.402,47.344899999999996,1.4231000000000003,48.767999999999994,0.02918102034120736,0.061572175314279304,0.08424626520917222,0.05864550301618602,0.058,0.021,0.033,-10.119,0,NGC 7814
UGC00128,1.0,8.0,64.5,9.7,0.1503875968992248,57.0,10.0,20.36,5.95,129.3,134.0,22.0,0.04082367286784212,0.010437445319335083,12.02,0.0,6.01,9.883230000000001,15.89323,0.621851568246354,-0.00914206287797152,-0.04956840052051792,0.09764967019445162,0.03,0.003,0.004,-11.228,0,UGC 00128
UGC00191,1.0,9.0,17.1,5.1,0.29824561403508765,45.0,5.0,50.21,1.58,0.0,83.85,9.0,0.0426640921133336,0.04427645788336933,2.004,0.0,1.002,1.7861900000000002,2.78819,0.6406270734777759,0.030941635809539077,0.011522069397708279,0.10238439127472677,0.028,0.004,0.004,-10.736,0,UGC 00191
UGC00634,2.0,9.0,30.9,7.7,0.24919093851132687,37.0,8.0,26.11,2.45,0.0,108.0,4.0,0.02673249889792476,0.019132560519863846,2.989,0.0,1.4945,4.87179,6.366289999999999,0.7652478916291907,-0.00263966079140987,0.0057733089189513365,0.030031472993938973,0.012,0.002,0.002,-11.252,0,UGC 00634
UGC00731,1.0,10.0,12.5,3.75,0.3,57.0,3.0,25.63,2.3,73.3,74.0,12.0,0.047781367876996245,0.04495509569439402,0.323,0.0,0.1615,2.40331,2.56481,0.9370323727683532,0.07957948308246914,0.07512201814306785,0.2077643492419372,0.024,0.003,0.004,-11.329,0,UGC 00731
UGC00891,2.0,9.0,10.2,3.1,0.303921568627451,60.0,5.0,19.09,1.43,0.0,63.75,5.0,0.03746397410278114,0.014901960784313726,0.374,0.0,0.187,0.56924,0.75624,0.7527240029620226,-0.1386703106145159,-0.10987330054686772,0.13159028492271582,0.066,0.009,0.01,-11.289,0,UGC 00891
UGC01281,1.0,8.0,5.27,0.24,0.04554079696394687,90.0,1.0,13.83,1.63,55.2,56.9,23.0,0.17450166630005004,0.14948805460750852,0.353,0.0,0.1765,0.39102,0.56752,0.6889977445728784,-0.07636561143196428,-0.044645409835192496,0.10745166936558617,0.027,0.004,0.005,-11.381,0,UGC 01281
UGC02259,2.0,8.0,10.5,3.1,0.29523809523809524,41.0,3.0,47.08,1.62,86.2,90.0,8.0,0.029280920240951663,0.022317462856854167,1.725,0.0,0.8625,0.65702,1.51952,0.4323865431188797,0.16938971579290496,0.12037443596004671,0.11740684770805156,0.011,0.002,0.002,-10.967,0,UGC 02259
UGC02487,1.0,0.0,69.1,10.4,0.15050651230101303,36.0,5.0,818.14,7.89,332.0,383.0,17.0,0.01951867781871284,0.01098901098901099,489.955,106.2097,266.21943999999996,23.890790000000003,290.11022999999994,0.08235073268529693,0.16277948356438698,0.15564246409945426,0.03495125082015417,0.024,0.003,0.004,-10.562,0,UGC 02487
UGC02885,1.0,5.0,80.6,8.06,0.10000000000000002,64.0,4.0,421.53,11.4,289.5,305.0,19.0,0.03506362965051915,0.03484320557491289,403.525,48.6748,211.49746,53.29975000000001,264.79721,0.2012851645982222,0.027423361344272854,0.015261784783607624,0.047902794597595943,0.023,0.003,0.003,-10.646,0,UGC 02885
UGC02916,2.0,2.0,65.4,9.8,0.14984709480122324,50.0,5.0,2425.66,6.15,182.7,218.0,43.0,0.04045109745123327,0.024251207729468597,124.153,71.6319,76.40288000000001,30.95309,107.35597000000001,0.2883220187941108,-0.062183233078573784,-0.05560975823502723,0.10945547518485589,0.015,0.002,0.002,-9.938,0,UGC 02916
UGC02953,2.0,2.0,16.5,4.95,0.3,50.0,4.0,1544.65,3.55,264.9,319.0,115.0,0.026628127939977004,0.017870722433460075,259.518,30.1421,135.78742,10.21174,145.99916,0.06994382707407358,0.07677406764518754,0.08104992522202714,0.11217838601119384,0.021,0.003,0.004,-9.497,0,UGC 02953
UGC03205,1.0,2.0,50.0,10.0,0.2,67.0,4.0,587.26,3.19,219.6,237.0,48.0,0.039212131251379685,0.030856064657990137,113.642,17.3472,60.29044,12.87041,73.16085,0.17591936124306923,0.06884414024459133,0.03736021934692335,0.06701924226104047,0.013,0.002,0.002,-9.813,0,UGC 03205
UGC03546,1.0,1.0,28.7,7.2,0.2508710801393728,55.0,5.0,2403.42,3.79,196.9,262.0,30.0,0.06837676756740188,0.054174310056663,101.336,27.3457,56.137139999999995,3.55775,59.694889999999994,0.059598903691756536,-0.08130170206841308,-0.07411100301966567,0.060832297918973585,0.035,0.004,0.004,-10.141,0,UGC 03546
UGC03580,2.0,1.0,20.7,5.2,0.25120772946859904,63.0,4.0,614.94,2.43,126.2,131.0,47.0,0.06772803816502526,0.03967789165446559,13.266,3.237,7.2804,5.8121,13.092500000000001,0.44392591178155427,-0.19595574031807378,-0.18203377887015826,0.15187816309887395,0.025,0.005,0.006,-10.262,0,UGC 03580
UGC04278,1.0,7.0,9.51,2.85,0.2996845425867508,90.0,3.0,34.11,2.21,91.4,92.8,25.0,0.15544235042447407,0.09302325581395349,1.307,0.0,0.6535,1.4842800000000003,2.1377800000000002,0.6943090495747926,0.010230877692929496,0.0040196512197230305,0.13863199708590584,0.011,0.002,0.002,-11.272,0,UGC 04278
UGC04325,1.0,9.0,9.6,2.88,0.3,41.0,3.0,41.0,1.86,90.9,92.7,8.0,0.04033775769681479,0.034118422847218485,2.026,0.0,1.013,0.9017400000000001,1.91474,0.4709464470371957,0.2001576672498786,0.1816630272917248,0.11457378561753036,0.008,0.001,0.002,-10.656,0,UGC 04325
UGC04483,2.0,10.0,3.34,0.31,0.09281437125748504,58.0,3.0,29.71,0.18,0.0,24.3,8.0,0.14665299454808123,0.08402901289461984,0.013,0.0,0.0065,0.04256,0.04906,0.8675091724419078,-0.23179248037863998,-0.20999234338105932,0.07891151197613598,0.016,0.002,0.002,-11.284,0,UGC 04483
UGC04499,1.0,8.0,12.5,3.75,0.3,50.0,3.0,33.79,1.73,72.8,74.3,9.0,0.05701186036532449,0.041106128550074734,1.552,0.0,0.776,1.4630000000000003,2.2390000000000003,0.6534167038856633,-0.11979785358896361,-0.08827619221653471,0.08630169072151889,0.015,0.002,0.002,-11.102,0,UGC 04499
UGC05005,1.0,10.0,53.7,10.7,0.19925512104283052,41.0,10.0,25.63,3.2,98.9,100.0,11.0,0.25313414911220306,0.13216995447647953,4.1,0.0,2.05,4.11369,6.16369,0.6674070240391714,-0.20837118566251386,-0.17083715685070544,0.12452839022056332,0.032,0.002,0.003,-11.701,0,UGC 05005
UGC05253,2.0,2.0,22.9,5.72,0.2497816593886463,37.0,4.0,1488.78,8.07,213.7,248.0,73.0,0.024886084032610462,0.01695238095238095,171.582,65.5084,98.89267999999998,21.806680000000004,120.69935999999998,0.18066939211608088,0.009768127776941358,-0.0023714446460534333,0.07108656876365095,0.026,0.003,0.003,-9.707,0,UGC 05253
UGC05414,1.0,10.0,9.4,2.82,0.3,55.0,3.0,32.87,1.47,0.0,61.4,6.0,0.062457571774697,0.050375608527782445,1.123,0.0,0.5615,0.76342,1.32492,0.5762008272197566,-0.16052348181373896,-0.13404586370533345,0.06517325321072148,0.019,0.002,0.003,-11.019,0,UGC 05414
UGC05716,2.0,9.0,21.3,5.3,0.2488262910798122,54.0,10.0,27.59,1.14,73.1,74.7,12.0,0.022574231867418987,0.014114181557790581,0.588,0.0,0.294,1.4550200000000002,1.7490200000000002,0.83190586728568,-0.0017104969902905036,0.011030327125143735,0.0799742433544982,0.02,0.004,0.005,-11.44,0,UGC 05716
UGC05721,1.0,7.0,6.18,1.85,0.29935275080906154,61.0,5.0,233.79,0.38,79.7,82.6,23.0,0.08566840497177293,0.05843989769820972,0.531,0.0,0.2655,0.7474600000000001,1.01296,0.7378968567366925,0.1998915819124812,0.19694280910791306,0.08894383155378364,0.021,0.003,0.003,-10.917,0,UGC 05721
UGC05750,1.0,8.0,58.7,11.7,0.19931856899488926,64.0,10.0,6.87,3.46,0.0,78.9,11.0,0.3226351075167466,0.1662125340599455,3.336,0.0,1.668,1.46167,3.12967,0.46703646071311034,-0.3127258653688404,-0.16728168108654629,0.2865140474159093,0.048,0.008,0.01,-11.469,0,UGC 05750
UGC05764,2.0,10.0,7.47,2.24,0.29986613119143246,60.0,10.0,9.31,1.17,0.0,55.8,10.0,0.0333545929456271,0.020718908743972562,0.085,0.0,0.0425,0.21679,0.25929,0.8360908635118979,0.17379611748199864,0.1773654792724848,0.14283312693786276,0.046,0.025,0.053,-11.191,0,UGC 05764
UGC05829,2.0,10.0,8.64,2.59,0.2997685185185185,34.0,10.0,10.59,1.99,0.0,68.6,11.0,0.13183455356110654,0.1056367432150313,0.564,0.0,0.282,1.36059,1.64259,0.8283199094113565,-0.0777436058238876,-0.11236901181558068,0.09057735687187636,0.743,0.166,0.214,-11.263,0,UGC 05829
UGC05918,2.0,10.0,7.66,2.3,0.30026109660574407,46.0,5.0,5.36,1.66,0.0,44.5,8.0,0.12199446217640586,0.1033553757799989,0.233,0.0,0.1165,0.39501000000000003,0.51151,0.7722429669019178,-0.029492001252612532,-0.0473612522890674,0.0925056869133986,0.02,0.002,0.003,-11.581,0,UGC 05918
UGC05986,2.0,9.0,8.63,2.59,0.3001158748551564,90.0,3.0,76.71,1.67,113.0,116.0,15.0,0.03788735356444698,0.03294642857142857,4.695,0.0,2.3475,3.54711,5.89461,0.6017548234743265,0.10539145647633638,0.15087141983543262,0.09495555333138957,0.033,0.007,0.009,-10.836,0,UGC 05986
UGC06399,1.0,9.0,18.0,2.5,0.1388888888888889,75.0,2.0,30.82,2.05,85.0,87.6,9.0,0.08985315391242607,0.057242990654205614,2.296,0.0,1.148,0.8964200000000001,2.04442,0.43847154694240914,0.012049643845860873,0.02994610973086509,0.0792227527704505,0.009,0.001,0.002,-11.019,0,UGC 06399
UGC06446,1.0,7.0,12.0,3.6,0.3,51.0,3.0,37.05,1.49,82.2,84.9,17.0,0.07366246681674636,0.06101190476190475,0.988,0.0,0.494,1.83407,2.3280700000000003,0.7878070676569003,0.08963564541750599,0.07918336717553132,0.10622397028722333,0.019,0.002,0.003,-11.165,0,UGC 06446
UGC06614,1.0,1.0,88.7,8.87,0.09999999999999999,36.0,10.0,1461.61,5.1,199.8,205.0,13.0,0.0749687492321122,0.07804878048780488,124.35,66.6549,75.50598,29.111040000000003,104.61702,0.2782629442130927,-0.11928203806623841,-0.13563385253192983,0.06102954657260561,0.026,0.003,0.004,-10.336,0,UGC 06614
UGC06667,1.0,6.0,18.0,2.5,0.1388888888888889,89.0,1.0,18.06,5.15,83.8,85.7,9.0,0.059983604320604615,0.04398447606727038,1.397,0.0,0.6985,1.07597,1.77447,0.6063613360609084,0.2737662506948093,0.28176767288426596,0.125559829749354,0.027,0.004,0.005,-11.287,0,UGC 06667
UGC06786,1.0,0.0,29.3,7.32,0.24982935153583619,64.0,3.0,992.73,3.6,219.4,229.0,45.0,0.037118573420353566,0.023105022831050228,73.407,18.8497,40.47344,6.689900000000001,47.16334,0.14184534004589158,0.12732404955281382,0.12278602318582621,0.0638028797871611,0.027,0.004,0.005,-10.094,0,UGC 06786
UGC06787,2.0,2.0,21.3,5.32,0.24976525821596246,66.0,3.0,1891.6,5.37,248.1,276.0,71.0,0.030175594956727187,0.0157847533632287,98.256,47.8054,58.689080000000004,6.689900000000001,65.37898,0.10232493685279276,0.06460194481636235,0.061491032959230196,0.09627606306417767,0.028,0.004,0.005,-10.632,0,UGC 06787
UGC06818,2.0,9.0,18.0,2.5,0.1388888888888889,75.0,3.0,56.08,1.39,71.2,74.4,8.0,0.11818870494786335,0.0886957205789805,1.588,0.0,0.794,1.43507,2.22907,0.6437976375797978,-0.21265838462561004,-0.16169882369132615,0.20426136372206138,0.031,0.004,0.004,-11.263,0,UGC 06818
UGC06917,1.0,9.0,18.0,2.5,0.1388888888888889,56.0,2.0,53.07,2.76,108.7,111.0,11.0,0.045152497325287595,0.04454545454545455,6.832,0.0,3.416,2.6905900000000003,6.106590000000001,0.4406043307312264,0.02300982947690193,0.01442801774446778,0.04347068601026755,0.007,0.001,0.002,-10.831,0,UGC 06917
UGC06923,2.0,10.0,18.0,2.5,0.1388888888888889,65.0,2.0,166.28,1.44,79.6,81.1,6.0,0.08913200649768953,0.0656091830917791,2.89,0.0,1.445,1.07597,2.52097,0.4268079350408771,-0.1093503740093628,-0.07000216903477874,0.09166352688760596,0.022,0.003,0.003,-10.79,0,UGC 06923
UGC06930,1.0,7.0,18.0,2.5,0.1388888888888889,32.0,5.0,73.93,3.94,107.2,109.0,10.0,0.07048324890818258,0.06730829977098635,8.932,0.0,4.466,4.305210000000001,8.77121,0.49083421785591735,-0.05084467268757962,-0.08108045529145702,0.07459960579231585,0.034,0.005,0.005,-11.033,0,UGC 06930
UGC06983,1.0,6.0,18.0,2.5,0.1388888888888889,49.0,1.0,53.56,3.21,109.0,113.0,17.0,0.06151441986016567,0.05277777777777778,5.298,0.0,2.649,3.9461100000000005,6.59511,0.5983387691789827,0.04198952509602972,0.06224276003121254,0.08194964149610612,0.034,0.005,0.006,-10.952,0,UGC 06983
UGC07089,2.0,8.0,18.0,2.5,0.1388888888888889,80.0,3.0,37.4,2.26,0.0,79.1,12.0,0.09544776138988613,0.08831636632994867,3.585,0.0,1.7925,1.61462,3.40712,0.47389584164925214,-0.20657476482290482,-0.18906047088339584,0.060006550058113714,0.033,0.005,0.005,-11.166,0,UGC 07089
UGC07125,1.0,9.0,19.8,5.9,0.297979797979798,90.0,3.0,28.11,3.38,65.2,65.6,13.0,0.050427280590443484,0.040519877675840976,2.712,0.0,1.356,6.156569999999999,7.512569999999999,0.8195025137868932,-0.35368567631334574,-0.31846511408189215,0.06930845058180882,0.007,0.002,0.002,-11.386,0,UGC 07125
UGC07151,1.0,6.0,6.87,0.34,0.049490538573508006,90.0,3.0,76.71,1.25,73.5,76.2,11.0,0.04543174857876192,0.040813464235624125,2.284,0.0,1.142,0.81928,1.96128,0.417727198564203,-0.05133950967165355,-0.06280276266562268,0.07297126269744987,0.029,0.004,0.005,-10.712,0,UGC 07151
UGC07232,2.0,10.0,2.83,0.17,0.060070671378091876,59.0,5.0,83.34,0.29,0.0,44.0,4.0,0.1239809276671011,0.10985209923664122,0.113,0.0,0.0565,0.061180000000000005,0.11768,0.5198844323589396,-0.04060831310361834,-0.06613343785222714,0.13702963516327418,0.024,0.003,0.004,-10.68,0,UGC 07232
UGC07261,2.0,8.0,13.1,3.93,0.30000000000000004,30.0,10.0,39.16,1.2,74.7,76.1,7.0,0.08629872890605038,0.08132183908045978,1.753,0.0,0.8765,1.84604,2.72254,0.678057989965253,0.01146118545465694,-0.0074982545040054305,0.08646598343060134,0.028,0.003,0.004,-11.097,0,UGC 07261
UGC07323,1.0,8.0,8.0,2.4,0.3,47.0,3.0,61.49,2.26,0.0,85.6,10.0,0.07558409088941839,0.06228738595131347,4.109,0.0,2.0545,0.96026,3.01476,0.3185195504783134,-0.13550434405148035,-0.1267284640583055,0.05167954688043,0.024,0.004,0.004,-10.898,0,UGC 07323
UGC07399,1.0,8.0,8.43,2.53,0.3001186239620403,55.0,3.0,113.98,1.64,103.0,106.0,10.0,0.03911136188236493,0.03817905056759546,1.156,0.0,0.578,0.99085,1.5688499999999999,0.6315772699748223,0.3102267868352877,0.31388880163152777,0.04203363681253761,0.018,0.003,0.004,-10.92,0,UGC 07399
UGC07524,1.0,9.0,4.74,0.24,0.05063291139240506,46.0,3.0,29.71,3.46,79.5,83.8,31.0,0.06504696374572913,0.053023255813953486,2.436,0.0,1.218,2.36607,3.58407,0.6601628874436046,-0.057476722060904824,-0.029887577315406588,0.07951757073780019,0.032,0.006,0.008,-11.181,0,UGC 07524
UGC07559,2.0,10.0,4.97,0.25,0.05030181086519115,61.0,3.0,17.9,0.58,0.0,32.1,7.0,0.16257265441765273,0.12375478927203064,0.109,0.0,0.0545,0.22477000000000003,0.27927,0.8048483546388799,-0.34133774372525316,-0.31206189779949156,0.10779544172236175,0.022,0.004,0.004,nan,1,UGC 07559a
UGC07577,2.0,10.0,2.59,0.13,0.0501930501930502,63.0,3.0,11.94,0.9,0.0,17.8,9.0,0.3756295262768428,0.29626168224299065,0.045,0.0,0.0225,0.05852,0.08102000000000001,0.7222907923969389,-0.6721712103992188,-0.7008050879690124,0.10746951182557919,0.038,0.003,0.003,nan,1,UGC 07577a
UGC07603,1.0,7.0,4.7,1.41,0.3,78.0,3.0,81.81,0.53,61.6,64.0,12.0,0.06182325374026995,0.0479676308539945,0.376,0.0,0.188,0.34314,0.53114,0.6460443574198894,0.06407210372005571,0.11193665743140357,0.10780290804992093,0.032,0.003,0.003,-10.997,0,UGC 07603
UGC07690,2.0,10.0,8.11,2.43,0.29963008631319366,41.0,5.0,184.01,0.57,57.4,60.7,7.0,0.0769727011631175,0.07443868739205527,0.858,0.0,0.429,0.5187,0.9477,0.5473251028806585,-0.05347296021308624,-0.06013256781437093,0.07569918199129486,0.027,0.003,0.003,-10.824,0,UGC 07690
UGC07866,2.0,10.0,4.57,0.23,0.05032822757111597,44.0,5.0,21.92,0.61,0.0,33.1,7.0,0.18150360321939743,0.15653846153846154,0.124,0.0,0.062,0.15694,0.21894,0.71681739289303,-0.2324874634740977,-0.24469600240758638,0.04049094077068047,0.036,0.006,0.007,nan,1,UGC 07866a
UGC08286,1.0,6.0,6.5,0.21,0.03230769230769231,90.0,3.0,39.52,1.05,82.4,84.3,17.0,0.03620998377388905,0.026229508196721315,1.255,0.0,0.6275,0.8538600000000001,1.48136,0.5764027650267323,0.13465119691484445,0.11173364722320223,0.08308595434666047,0.023,0.004,0.004,-10.832,0,UGC 08286
UGC08490,1.0,9.0,4.65,0.53,0.1139784946236559,50.0,3.0,124.98,0.67,78.6,80.1,30.0,0.05030163092560759,0.04700636942675159,1.017,0.0,0.5085,0.9576,1.4661,0.6531614487415592,0.10562114404645725,0.10015752665766353,0.04869267963139362,0.026,0.004,0.005,-11.162,0,UGC 08490
UGC08550,1.0,7.0,6.7,2.0,0.29850746268656714,90.0,3.0,45.38,0.45,56.9,57.8,11.0,0.0450768559398561,0.03953488372093023,0.289,0.0,0.1445,0.38304,0.52754,0.7260871213557265,0.03854363713221173,0.04054835784680222,0.052411478862653085,0.025,0.003,0.004,-11.251,0,UGC 08550
UGC08699,2.0,2.0,39.3,9.82,0.2498727735368957,73.0,9.0,2191.95,3.09,182.4,202.0,41.0,0.04299085358970198,0.032058823529411765,50.302,14.6855,28.0881,4.97154,33.05964,0.15038094788690984,0.032849666430973805,0.04657517686937318,0.056366775924215455,0.04,0.01,0.014,-10.12,0,UGC 08699
UGC08837,2.0,10.0,7.21,0.36,0.049930651872399444,80.0,5.0,15.73,1.72,0.0,48.0,8.0,0.11010950529826022,0.07595712985185799,0.501,0.0,0.2505,0.42560000000000003,0.6761,0.6294926785978405,-0.40664100507494494,-0.3833491309815438,0.19284304262430044,0.024,0.004,0.005,-11.296,0,UGC 08837
UGC09037,2.0,6.0,83.6,8.4,0.10047846889952154,65.0,5.0,334.83,4.28,152.3,160.0,22.0,0.05302839692826369,0.044272949272949266,68.614,0.0,34.307,25.37374,59.68074,0.42515793202296087,-0.21787791910709917,-0.19414415011425223,0.0975296479978253,0.03,0.005,0.006,-10.734,0,UGC 09037
UGC09133,1.0,2.0,57.1,11.4,0.19964973730297722,53.0,6.0,1284.78,6.97,226.8,289.0,68.0,0.02171675774768695,0.016809618794326242,282.926,80.5147,157.56593999999998,44.45924,202.02517999999998,0.220067815308963,-0.014339741897043142,-0.01962712361349528,0.07899208081685515,0.042,0.009,0.011,-9.81,0,UGC 09133
UGC09992,2.0,10.0,10.7,3.21,0.3,30.0,10.0,20.18,1.04,33.6,34.3,5.0,0.17764899301798792,0.1715151515151515,0.336,0.0,0.168,0.42294000000000004,0.59094,0.7157071783937456,-0.29438823452719054,-0.3192143021675111,0.13584397776745277,0.033,0.006,0.007,nan,1,UGC 09992a
UGC10310,1.0,9.0,15.2,4.6,0.3026315789473684,34.0,6.0,28.37,1.8,71.4,73.2,7.0,0.08651501017466154,0.07312138728323699,1.741,0.0,0.8705,1.59068,2.46118,0.6463078685833624,-0.04305160732119389,-0.0030606718198811222,0.08491400336400785,0.044,0.008,0.009,-11.108,0,UGC 10310
UGC11455,1.0,6.0,78.6,11.8,0.15012722646310434,90.0,1.0,571.26,5.93,269.4,291.0,36.0,0.03945787982251717,0.03187634513793779,374.322,0.0,187.161,17.735550000000003,204.89655,0.086558558453034,-0.059471543150928015,-0.026396103129254556,0.11228854927500496,0.027,0.004,0.005,-9.898,0,UGC 11455
UGC11557,2.0,8.0,24.2,6.05,0.25,30.0,10.0,106.86,2.75,0.0,85.0,12.0,0.3157263113727356,0.1222134820747521,12.101,0.0,6.0505,3.4646500000000002,9.51515,0.3641193254967079,-0.5351809987746368,-0.3797073480051427,0.3917680591540333,0.025,0.004,0.005,-10.904,0,UGC 11557
UGC11820,1.0,9.0,18.1,5.43,0.29999999999999993,45.0,10.0,20.18,2.08,0.0,84.45,10.0,0.10342400796309674,0.06182667022140356,0.97,0.0,0.485,2.6294100000000005,3.1144100000000003,0.8442722698681292,-0.02902219760257836,-0.06901279072414468,0.12616469660836857,0.039,0.008,0.009,-11.305,0,UGC 11820
UGC11914,1.0,2.0,16.9,5.1,0.30177514792899407,31.0,5.0,2425.66,2.44,288.1,305.0,65.0,0.03809118214901425,0.028056537102473498,150.028,37.1578,82.44555999999999,1.18104,83.62659999999998,0.014122779115735905,0.10858230100020633,0.10430750380638898,0.036002879779270615,0.031,0.004,0.005,-9.346,0,UGC 11914
UGC12506,2.0,6.0,100.6,10.1,0.10039761431411531,86.0,4.0,144.82,7.38,234.0,255.0,31.0,0.0676241008402758,0.051555555555555556,139.571,0.0,69.7855,47.28948,117.07498,0.40392473267986034,0.1572471299555153,0.11135484436474208,0.17749007122917115,0.033,0.005,0.006,-10.508,0,UGC 12506
UGC12632,1.0,9.0,9.77,2.93,0.29989764585465717,46.0,3.0,13.09,2.42,71.7,73.2,15.0,0.07373149494608805,0.052366863905325446,1.301,0.0,0.6505,2.3195200000000002,2.9700200000000003,0.7809779058726877,-0.03003965874170724,-0.006825412257686736,0.08566550526233711,0.028,0.004,0.004,-11.304,0,UGC 12632
UGC12732,1.0,9.0,13.2,4.0,0.30303030303030304,39.0,6.0,26.84,1.98,0.0,98.0,16.0,0.051920506339553585,0.04396438841532299,1.667,0.0,0.8335,4.867800000000001,5.701300000000001,0.8538052724817148,0.01266244008748052,0.025415179981394864,0.07843401495748593,0.029,0.004,0.005,-11.361,0,UGC 12732
UGCA442,1.0,9.0,4.35,0.22,0.05057471264367817,64.0,7.0,7.6,1.18,56.4,57.8,8.0,0.054094536584018145,0.045700481053253444,0.14,0.0,0.07,0.34979000000000005,0.41979000000000005,0.8332499583124896,-0.05313361612943668,-0.051913903504734016,0.06598582627291436,0.026,0.004,0.005,-11.259,0,UGC A442
UGCA444,2.0,10.0,0.98,0.05,0.05102040816326531,78.0,4.0,11.94,0.83,37.0,38.3,36.0,0.16653705046736952,0.1392608817797131,0.012,0.0,0.006,0.08911000000000001,0.09511000000000001,0.9369151508779308,-0.1094314581125358,-0.13109591363786244,0.09516552767709464,0.028,0.004,0.005,nan,1,UGC A444a
