galaxy,Q,T,D_mpc,e_D_mpc,distance_frac_error,Inc_deg,e_Inc_deg,SBeff_Lsun_pc2,Rdisk_kpc,Vflat_kms,Vmax_kms,n_points,mean_frac_v_error,median_frac_v_error,L36_1e9Lsun,Lbul_1e9Lsun,Mstar_1e9Msun,Mgas_1e9Msun,Mbar_1e9Msun,gas_fraction,mean_residual_dex,median_residual_dex,std_residual_dex,eenv,eenv_err_lo,eenv_err_hi,x0_chae2020,x0_missing_flag,galaxy_raw_chae2020
F574-1,1.0,7.0,96.8,9.68,0.1,65.0,10.0,29.98,4.46,97.8,99.7,14.0,0.07342671475862751,0.0499541232383839,6.537,0.0,3.2685,4.686920000000001,7.95542,0.5891480273825895,0.040415174376043694,0.06473081062653652,0.11736886487341604,0.01,0.001,0.001,-11.066,0,F574-1
F583-1,1.0,9.0,35.4,8.85,0.25,63.0,5.0,11.19,2.36,85.8,86.9,25.0,0.22267863740696078,0.10360360360360361,0.986,0.0,0.493,2.82758,3.32058,0.8515319612838721,0.027437094326746417,0.12196044477373036,0.2295972703785468,0.014,0.002,0.002,-11.337,0,F583-1
F583-4,1.0,5.0,53.3,10.7,0.20075046904315197,55.0,10.0,24.94,1.93,0.0,69.9,12.0,0.1301788437264247,0.08380206749771968,1.715,0.0,0.8575,0.85253,1.7100300000000002,0.4985468091203078,-0.0726019288973984,-0.08495814782069289,0.032173686693979825,0.012,0.002,0.002,-11.358,0,F583-4
IC2574,2.0,9.0,3.91,0.2,0.05115089514066496,75.0,7.0,15.88,2.78,66.4,67.5,34.0,0.07742017105505743,0.06563459959244504,1.016,0.0,0.508,1.3778800000000002,1.8858800000000002,0.7306297325386557,-0.26366015823088906,-0.23492335251505114,0.11307957828855954,0.016,0.001,0.001,-11.722,0,IC 2574
IC4202,1.0,4.0,100.4,10.0,0.099601593625498,90.0,1.0,391.59,4.78,242.6,250.0,32.0,0.035992518593785064,0.025312967224956743,179.749,37.3623,97.34696,16.39358,113.74054,0.14413137127711897,-0.04578100724861073,0.016884787923881817,0.23158830736875,0.026,0.012,0.024,-9.998,0,IC 4202
KK98-251,2.0,10.0,6.8,2.04,0.3,59.0,5.0,7.89,1.34,33.7,34.6,15.0,0.13558141273900712,0.09174311926605504,0.085,0.0,0.0425,0.15295,0.19545,0.7825530826298286,-0.39483759152878084,-0.39848089808787357,0.1253365107631268,0.027,0.002,0.002,-11.423,0,KK98-251
NGC0024,1.0,5.0,7.3,0.36,0.049315068493150684,64.0,3.0,151.65,1.34,106.3,110.0,29.0,0.10917697570744149,0.08925233644859813,3.889,0.0,1.9445,0.8990800000000001,2.84358,0.3161789012442063,0.2167630772903821,0.23654889304489046,0.10390740584572636,0.027,0.004,0.005,-10.096,0,NGC 0024
NGC0055,2.0,9.0,2.11,0.11,0.05213270142180095,77.0,3.0,54.55,6.11,85.6,87.4,21.0,0.0551838612398602,0.0558882235528942,4.628,0.0,2.314,2.0814500000000002,4.39545,0.4735465083211048,-0.19838718564919477,-0.17878363569416678,0.06303698101632584,0.029,0.003,0.004,-11.11,0,NGC 0055
NGC0100,1.0,6.0,13.5,4.05,0.3,89.0,1.0,64.99,1.66,88.1,91.2,21.0,0.13601033388020572,0.07133757961783439,3.232,0.0,1.616,2.6467,4.262700000000001,0.620897553193985,-0.08476540171798266,-0.01699275877480666,0.1754965232158965,0.016,0.001,0.002,-10.989,0,NGC 0100
NGC0247,2.0,7.0,3.7,0.19,0.05135135135135135,74.0,3.0,33.79,3.74,104.9,108.0,26.0,0.05418625062446693,0.052883624205591555,7.332,0.0,3.666,2.32218,5.98818,0.3877939540895564,-0.016892388914617647,-0.0410302767803179,0.05584966255198288,0.015,0.003,0.003,-10.915,0,NGC 0247
NGC0289,2.0,4.0,20.8,5.2,0.25,46.0,5.0,1587.93,6.74,163.0,194.0,28.0,0.06666930633806835,0.04080653230417382,72.065,0.0,36.0325,36.533770000000004,72.56627,0.5034538774006161,-0.08096373507342466,-0.09047010600840899,0.08020765312488291,0.006,0.001,0.001,-11.225,0,NGC 0289
NGC0300,2.0,7.0,2.08,0.1,0.04807692307692308,42.0,10.0,147.51,1.75,93.3,97.0,25.0,0.07954852328531042,0.07790821771611525,2.922,0.0,1.461,1.2448800000000002,2.7058800000000005,0.46006474788238944,0.035371221309008403,0.04016221665780506,0.05627066713642274,0.026,0.005,0.006,-11.083,0,NGC 0300
