z,mu,sigma
0.36672000,41.48063000,0.13840000
0.36704000,41.25502000,0.09640000
0.36705000,41.49526000,0.11860000
0.36711000,41.41436000,0.11440000
0.36774000,41.11399000,0.11470000
0.36795000,41.44872000,0.11900000
0.36798000,41.50983000,0.14710000
0.36798000,41.40591000,0.14930000
0.36834000,41.27058000,0.12380000
0.36843000,41.64184000,0.17850000
0.36862000,41.56550000,0.26020000
0.36966000,41.37922000,0.27400000
0.37043000,41.29234000,0.14640000
0.37044000,41.56655000,0.14450000
0.37136000,41.43197000,0.13900000
0.37143000,41.41159000,0.14270000
0.37176000,41.39942000,0.14550000
0.37178000,41.45703000,0.25140000
0.37202000,41.67956000,0.14740000
0.37228000,41.39484000,0.17390000
0.37298000,41.46099000,0.12550000
0.37567000,41.36417000,0.17220000
0.37678000,41.46815000,0.13290000
0.37719000,41.42987000,0.14490000
0.37769000,42.15081000,1.26200000
0.37797000,41.47658000,0.16320000
0.37813000,41.30302000,0.20250000
0.37890000,41.47386000,0.14680000
0.37937000,41.65466000,0.17590000
0.37942000,41.57089000,0.12610000
0.38131000,41.52151000,0.17440000
0.38137000,41.50847000,0.19150000
0.38185000,41.63203000,0.15580000
0.38247000,41.42685000,0.13320000
0.38251000,41.39445000,0.22920000
0.38274000,41.77392000,0.24240000
0.38283000,41.44162000,0.15920000
0.38323000,41.37910000,0.17080000
0.38328000,41.50629000,0.12760000
0.38337000,41.62930000,0.25930000
0.38353000,41.49537000,0.24630000
0.38373000,41.23591000,262.77850000
0.38393000,41.46707000,0.18150000
0.38400000,41.77543000,0.26840000
0.38495000,41.04571000,0.18310000
0.38620000,41.59525000,0.16620000
0.38676000,41.64110000,0.16880000
0.38683000,41.60627000,0.13540000
0.38732000,41.67321000,0.18810000
0.38748000,41.35510000,0.17180000
0.38809000,41.89120000,0.26930000
0.38884000,41.61793000,0.15170000
0.38889000,41.58500000,0.13340000
0.38948000,41.14367000,0.22080000
0.39044000,41.64288000,0.16280000
0.39136000,41.57298000,0.15570000
0.39146000,41.58434000,150.61510000
0.39186000,41.61736000,0.17340000
0.39189000,41.95625000,0.25280000
0.39201000,41.57270000,0.27900000
0.39216000,41.67219000,0.13440000
0.39282000,41.54316000,0.21350000
0.39298000,41.61587000,0.13880000
0.39362000,41.68750000,0.31340000
0.39365000,42.25254000,0.27230000
0.39436000,41.55427000,0.18240000
0.39494000,41.74977000,0.16880000
0.39496000,40.94218000,0.22880000
0.39512000,41.69227000,0.15050000
0.39521000,41.14772000,5.76300000
0.39764000,41.37364000,0.22290000
0.39821000,41.83358000,0.16740000
0.39827000,41.80643000,0.28070000
0.39835000,41.44377000,0.18600000
0.39876000,41.94071000,0.27540000
0.39932000,41.77158000,0.22520000
0.40031000,41.51903000,0.17440000
0.40109000,42.44441000,279.38870000
0.40188000,41.57734000,0.18160000
0.40194000,41.59565000,0.14390000
0.40228000,41.50684000,0.16770000
0.40349000,42.11665000,0.34380000
0.40360000,41.73836000,0.15510000
0.40361000,41.68997000,0.15590000
0.40457000,41.50941000,266.17430000
0.40467000,41.66284000,183.65210000
0.40476000,41.65098000,0.14460000
0.40512000,41.74579000,0.13790000
0.40538000,41.53219000,0.12130000
0.40572000,41.79768000,0.21680000
0.40597000,41.82821000,0.15460000
0.40626000,41.74051000,0.19440000
0.40644000,42.13934000,0.48400000
0.40647000,41.79909000,0.15180000
0.40684000,41.88516000,0.20690000
0.40697000,42.23683000,0.23980000
0.40746000,41.71383000,0.20010000
0.40841000,41.73184000,0.16710000
0.40897000,41.71107000,0.12030000
0.40900000,41.75601000,0.20630000
0.40911000,41.94595000,0.22410000
0.40925000,41.56159000,0.17330000
0.41066000,42.20685000,0.28030000
0.41097000,41.81159000,0.10710000
0.41113000,41.65090000,0.20000000
0.41235000,41.82979000,0.18080000
0.41257000,41.68001000,0.23280000
0.41357000,41.65307000,0.17780000
0.41447000,41.75128000,0.24990000
0.41527000,41.74117000,0.11850000
0.41568000,41.64874000,0.15320000
0.41962000,41.85497000,0.22190000
0.42029000,41.98525000,0.16570000
0.42044000,41.58688000,0.11360000
0.42054000,41.74141000,0.14180000
0.42068000,41.57618000,0.12350000
0.42089000,41.70125000,0.15330000
0.42131000,41.91931000,0.14090000
0.42147000,41.98488000,0.15850000
0.42199000,41.63381000,0.16640000
0.42224000,42.12211000,0.21730000
0.42235000,41.72469000,0.21790000
0.42267000,42.10023000,0.23090000
0.42273000,41.77707000,0.16260000
0.42348000,41.72135000,0.14910000
0.42354000,42.34670000,14.27310000
0.42376000,41.69933000,0.15300000
0.42391000,41.85669000,0.10310000
0.42420000,41.74060000,0.15310000
0.42436000,42.02518000,0.17280000
0.42445000,41.57869000,0.22690000
0.42450000,41.87683000,0.19240000
0.42460000,42.03716000,0.11720000
0.42467000,42.18998000,0.29670000
0.42513000,42.15260000,0.25220000
0.42561000,41.76441000,0.13720000
0.42569000,41.78831000,0.27560000
0.42593000,41.84724000,0.12690000
0.42602000,42.16596000,0.21830000
0.42692000,41.93286000,0.13140000
0.42713000,41.89593000,0.22300000
0.42749000,41.55512000,0.99600000
0.42781000,41.90016000,0.13960000
0.42821000,42.27783000,0.26470000
0.42857000,41.90901000,0.12420000
0.42893000,41.99425000,0.11000000
0.42926000,41.78248000,0.56930000
0.42981000,41.45573000,0.20500000
0.42982000,41.89811000,0.30710000
0.42989000,41.69169000,0.10780000
0.43034000,41.92619000,0.20460000
0.43071000,41.74154000,0.19210000
0.43112000,41.79286000,0.22200000
0.43144000,41.86531000,0.14430000
0.43160000,42.00453000,0.13140000
0.43172000,42.03657000,0.95920000
0.43225000,41.66478000,0.18940000
0.43278000,41.71503000,0.16800000
0.43311000,41.75842000,0.13810000
0.43313000,41.91390000,0.18030000
0.43322000,41.89547000,0.14680000
0.43365000,41.79666000,0.11060000
0.43369000,41.98253000,0.15920000
0.43398000,41.79445000,0.12840000
0.43435000,41.60541000,0.20140000
