family,relation,value,target_label,target_value,error_frac,error_pct,unit_sensitive,p_any_same_family,p_any_global
sum_rule,"S(all_quarks; p=0.0, q=-0.5, r=2.0)",0.003591247797953354,1/3,0.3333333333333333,0.9892262566061399,98.92262566061399,True,1.0,1.0
sum_rule,"S(ew_bosons; p=-1.0, q=0.0, r=2.0)",0.0034879783673961184,1/3,0.3333333333333333,0.9895360648978117,98.95360648978117,True,1.0,1.0
sum_rule,"S(ew_bosons; p=0.0, q=0.5, r=2.0)",0.003399626819684241,1/3,0.3333333333333333,0.9898011195409472,98.98011195409472,True,1.0,1.0
sum_rule,"S(charged_fermions; p=0.0, q=-1.0, r=1.0)",0.0033887927140660015,1/3,0.3333333333333333,0.989833621857802,98.9833621857802,True,1.0,1.0
sum_rule,"S(ew_bosons; p=1.0, q=1.0, r=2.0)",0.0033691065062163386,1/3,0.3333333333333333,0.9898926804813509,98.98926804813509,True,1.0,1.0
sum_rule,"S(all_mass_scales; p=0.0, q=0.5, r=2.0)",0.0031931006779087694,1/3,0.3333333333333333,0.9904206979662736,99.04206979662736,True,1.0,1.0
sum_rule,"S(charged_fermions; p=-0.5, q=2.0, r=1.0)",0.0029842503588024655,1/3,0.3333333333333333,0.9910472489235926,99.10472489235926,True,1.0,1.0
angle_mass,CKM s13 / (dm21/dm32_abs)^(1/4),0.008381045090927292,1,1.0,0.9916189549090727,99.16189549090727,False,1.0,1.0
sum_rule,"S(charged_fermions; p=-0.5, q=1.0, r=2.0)",0.0027449197605203665,1/3,0.3333333333333333,0.9917652407184389,99.17652407184389,True,1.0,1.0
sum_rule,"S(charged_fermions; p=0.5, q=-0.5, r=2.0)",0.002327298116675395,1/3,0.3333333333333333,0.9930181056499738,99.30181056499738,True,1.0,1.0
sum_rule,"S(ew_scales; p=-1.0, q=0.0, r=2.0)",0.0022158258626894774,1/3,0.3333333333333333,0.9933525224119315,99.33525224119315,True,1.0,1.0
sum_rule,"S(up_quarks; p=-1.0, q=-1.0, r=2.0)",0.0021563055928699422,1/3,0.3333333333333333,0.9935310832213902,99.35310832213902,True,1.0,1.0
sum_rule,"S(ew_scales; p=0.0, q=0.5, r=2.0)",0.0019408723277183038,1/3,0.3333333333333333,0.9941773830168451,99.41773830168451,True,1.0,1.0
sum_rule,"S(ew_scales; p=1.0, q=1.0, r=2.0)",0.0018415032854260116,1/3,0.3333333333333333,0.9944754901437218,99.44754901437219,True,1.0,1.0
