family,relation,value,target_label,target_value,relative_error,percent_error,global_p_value,note
koide_raw_all,"Q(theta23_ckm_deg, theta13_pmns_deg, G_F)",0.5456661785116307,6/11,0.545454545454545,0.0003879939379904758,0.03879939379904758,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(theta23_pmns_deg, alpha_em_MZ, sin2_thetaW)",0.8568089865515731,6/7,0.857142857142857,0.0003895156898311807,0.038951568983118065,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_u, sin2_thetaW, M_Z)",0.9003727010733997,9/10,0.9,0.0004141123037774511,0.04141123037774511,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_tau, dm2_21, theta23_ckm_deg)",0.49979266124159444,1/2,0.5,0.00041467751681112386,0.041467751681112386,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_e, m_u, dm2_21)",0.4543560566774948,5/11,0.454545454545455,0.0004166753095124039,0.04166753095124039,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=1, q=-1, r=1](up_type_quarks)",0.3748432273284353,3/8,0.375,0.0004180604575059199,0.04180604575059199,1.0,
sum_rules,"S[p=-1, q=1, r=1](up_type_quarks)",2.6677819608137305,8/3,2.666666666666667,0.0004182353051488396,0.04182353051488396,1.0,
koide_raw_all,"Q(m_d, m_t, theta23_pmns_deg)",0.5456849884019078,6/11,0.545454545454545,0.00042247873683189606,0.04224787368318961,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_u, theta12_pmns_deg, theta23_pmns_deg)",0.49978746055650614,1/2,0.5,0.00042507888698772867,0.04250788869877287,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=0.5, q=-0.5, r=1](up_type_quarks)",0.636636505477689,7/11,0.636363636363636,0.0004287943220832831,0.04287943220832831,1.0,
koide_raw_all,"Q(dm2_21, theta23_pmns_deg, sin2_thetaW)",0.8753818838653389,7/8,0.875,0.0004364387032444382,0.04364387032444382,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(theta13_pmns_deg, sin2_thetaW, M_W)",0.5835895770273501,7/12,0.583333333333333,0.0004392749040293332,0.04392749040293332,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_u, m_c, theta12_ckm_deg)",0.624724837511359,5/8,0.625,0.0004402599818256192,0.04402599818256192,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=1, q=1, r=-0.5](down_type_quarks)",8.858256980429502,5*sqrt(pi),8.862269254527579,0.00045273665049470576,0.04527366504947058,1.0,
sum_rules,"S[p=-1, q=-0.5, r=2](all_masses)",0.3331816546684247,1/3,0.333333333333333,0.00045503599472485106,0.045503599472485105,1.0,
koide_raw_all,"Q(m_u, theta13_pmns_deg, M_W)",0.6252909065558,5/8,0.625,0.0004654504892799949,0.04654504892799949,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=1, q=-0.5, r=0.5](down_type_quarks)",0.999533408821211,1,1.0,0.0004665911787889998,0.04665911787889998,1.0,
koide_raw_all,"Q(m_mu, m_d, M_Z)",0.9235093723363091,12/13,0.923076923076923,0.00046848669766830225,0.04684866976683023,1.0,Raw prompt-unit triple scan.
koide_mass_only,"Q(m_mu, m_d, M_Z)",0.9235093723363091,12/13,0.923076923076923,0.00046848669766830225,0.04684866976683023,1.0,
koide_raw_all,"Q(m_d, theta13_ckm_deg, M_Z)",0.8995758455282257,9/10,0.9,0.00047128274641594636,0.047128274641594636,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_t, theta12_ckm_deg, alpha_s_MZ)",0.6360632804157713,7/11,0.636363636363636,0.00047198791807310896,0.047198791807310896,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, dm2_32_abs, M_W)",0.9226377486831336,12/13,0.923076923076923,0.00047577225993849137,0.047577225993849136,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=-0.5, q=1, r=0.5](down_type_quarks)",8.866529138686307,5*sqrt(pi),8.862269254527579,0.00048067645389486443,0.04806764538948644,1.0,
koide_raw_all,"Q(m_c, theta12_ckm_deg, G_F)",0.63603683188766,7/11,0.636363636363636,0.0005135498908194206,0.05135498908194206,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(theta13_ckm_deg, theta12_pmns_deg, sin2_thetaW)",0.7496085234444544,3/4,0.75,0.0005219687407274817,0.052196874072748166,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_c, dm2_32_abs, alpha_em_MZ)",0.8004190033714031,4/5,0.8,0.0005237542142538798,0.05237542142538798,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(theta23_ckm_deg, theta13_pmns_deg, M_H)",0.5558496740951426,5/9,0.555555555555556,0.0005294133712558931,0.05294133712558931,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_d, m_t, sin2_thetaW)",0.9225811235135947,12/13,0.923076923076923,0.0005371161936057097,0.05371161936057097,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=1, q=0, r=0.5](down_type_quarks)",2.471751972454626,3/2*sqrt(e),2.473081906050192,0.0005377636673950452,0.05377636673950452,1.0,
koide_raw_all,"Q(dm2_21, theta23_ckm_deg, alpha_em_MZ)",0.8884039476069118,8/9,0.888888888888889,0.0005455589422243279,0.05455589422243279,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=-0.5, q=0.5, r=0.5](all_masses)",11.174226728301182,5*sqrt(5),11.180339887498949,0.000546777580939404,0.054677758093940404,1.0,
sum_rules,"S[p=-0.5, q=0.5, r=-0.5](gauge_higgs)",1.665752134455387,5/3,1.666666666666667,0.00054871932676801,0.054871932676801,1.0,
koide_raw_all,"Q(m_d, m_s, M_W)",0.9225685290841953,12/13,0.923076923076923,0.0005507601587883734,0.055076015878837335,1.0,Raw prompt-unit triple scan.
koide_mass_only,"Q(m_d, m_s, M_W)",0.9225685290841953,12/13,0.923076923076923,0.0005507601587883734,0.055076015878837335,1.0,
koide_raw_all,"Q(m_d, m_c, alpha_em_MZ)",0.7782298228287174,7/9,0.777777777777778,0.0005812007797792687,0.05812007797792688,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(dm2_32_abs, theta23_ckm_deg, theta13_ckm_deg)",0.6157443052664712,8/13,0.615384615384615,0.0005844960580163182,0.05844960580163182,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_u, dm2_32_abs, theta23_ckm_deg)",0.8883681286506695,8/9,0.888888888888889,0.0005858552679968848,0.05858552679968848,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=0, q=-0.5, r=0.5](down_type_quarks)",0.7004111525889081,7/10,0.7,0.0005873608412973068,0.05873608412973068,1.0,
koide_raw_all,"Q(m_c, G_F, v)",0.8744832883354766,7/8,0.875,0.0005905276165981529,0.059052761659815295,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_tau, theta13_ckm_deg, sin2_thetaW)",0.42883153811784075,3/7,0.428571428571429,0.000606922274960767,0.0606922274960767,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_s, sin2_thetaW, M_Z)",0.8566180604087131,6/7,0.857142857142857,0.0006122628565011594,0.06122628565011594,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_tau, theta12_ckm_deg, M_H)",0.5381316437908062,7/13,0.538461538461538,0.0006126615313589559,0.06126615313589559,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=1, q=2, r=-0.5](charged_leptons)",3.3520460447254483,3/2*sqrt(5),3.354101966249685,0.0006129573712798063,0.06129573712798063,1.0,
koide_raw_all,"Q(m_d, theta13_pmns_deg, alpha_s_MZ)",0.7782553958168413,7/9,0.777777777777778,0.0006140803359385555,0.061408033593855556,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_t, theta13_ckm_deg, alpha_s_MZ)",0.8894382518708346,8/9,0.888888888888889,0.0006180333546888378,0.06180333546888378,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(M_W, M_Z, G_F)",0.5003135336690923,1/2,0.5,0.0006270673381845171,0.06270673381845171,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(theta12_pmns_deg, sin2_thetaW, G_F)",0.8576852204307651,6/7,0.857142857142857,0.000632757169226154,0.0632757169226154,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_c, m_b, dm2_21)",0.538806875426903,7/13,0.538461538461538,0.000641340078534971,0.0641340078534971,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, alpha_s_MZ, M_Z)",0.8755611860135933,7/8,0.875,0.0006413554441066742,0.06413554441066742,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(theta12_ckm_deg, theta12_pmns_deg, theta13_pmns_deg)",0.3634000894595926,4/11,0.363636363636364,0.0006497539861212286,0.06497539861212286,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, m_t, sin2_thetaW)",0.8894670771288671,8/9,0.888888888888889,0.000650461769975394,0.0650461769975394,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_e, theta12_ckm_deg, theta23_pmns_deg)",0.5458100360853111,6/11,0.545454545454545,0.0006517328230712204,0.06517328230712204,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(theta23_ckm_deg, theta23_pmns_deg, M_H)",0.4548424047077563,5/11,0.454545454545455,0.0006532903570628628,0.06532903570628629,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=-0.5, q=-0.5, r=0.5](charged_leptons)",6.932824599636226,4*sqrt(3),6.928203230275509,0.00066703721110871,0.066703721110871,1.0,
koide_raw_all,"Q(m_b, theta12_pmns_deg, theta13_pmns_deg)",0.4002672138594167,2/5,0.4,0.0006680346485417321,0.06680346485417321,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_u, theta12_ckm_deg, v)",0.6927706455033327,9/13,0.692307692307692,0.0006687101714810317,0.06687101714810317,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(dm2_32_abs, theta23_ckm_deg, alpha_em_MZ)",0.8467203245413749,11/13,0.846153846153846,0.0006694744579886756,0.06694744579886756,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_e, m_d, theta13_ckm_deg)",0.7147680133650466,5/7,0.714285714285714,0.0006752187110656619,0.06752187110656618,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_e, m_tau, theta12_ckm_deg)",0.6004106501168279,3/5,0.6,0.0006844168613799144,0.06844168613799144,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(dm2_32_abs, alpha_s_MZ, M_Z)",0.9237209048252208,12/13,0.923076923076923,0.000697646893989314,0.0697646893989314,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_tau, theta12_pmns_deg, sin2_thetaW)",0.6149543099595289,8/13,0.615384615384615,0.0006992463157648181,0.06992463157648181,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, theta23_pmns_deg, theta13_pmns_deg)",0.5458409830397633,6/11,0.545454545454545,0.0007084689062335139,0.0708468906233514,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_c, dm2_32_abs, theta13_pmns_deg)",0.5829171502982587,7/12,0.583333333333333,0.0007134566315559281,0.0713456631555928,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_c, m_t, sin2_thetaW)",0.8005715756710035,4/5,0.8,0.0007144695887542629,0.07144695887542629,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(dm2_21, theta13_ckm_deg, M_H)",0.9224057881463567,12/13,0.923076923076923,0.0007270628414468943,0.07270628414468942,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_c, m_b, theta13_ckm_deg)",0.42888372106852685,3/7,0.428571428571429,0.0007286824932283268,0.07286824932283269,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_s, theta23_pmns_deg, G_F)",0.9173350092160684,11/12,0.916666666666667,0.000729100962983347,0.0729100962983347,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=0, q=-0.5, r=0.5](all_masses)",1.3760025322576543,11/8,1.375,0.0007291143692031584,0.07291143692031583,1.0,
koide_raw_all,"Q(m_s, theta23_ckm_deg, M_H)",0.7505468966515209,3/4,0.75,0.0007291955353611416,0.07291955353611415,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_s, theta13_pmns_deg, M_W)",0.5995616543512005,3/5,0.6,0.0007305760813325346,0.07305760813325346,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(dm2_32_abs, theta13_ckm_deg, M_H)",0.9159943943113161,11/12,0.916666666666667,0.000733388024019091,0.0733388024019091,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_s, dm2_21, theta23_pmns_deg)",0.9159939572800491,11/12,0.916666666666667,0.0007338647854013429,0.07338647854013429,1.0,Raw prompt-unit triple scan.
mass_ratios,m_b/m_e,8185.926800828063,2^13,8192.0,0.0007413573207930568,0.07413573207930568,1.0,
koide_raw_all,"Q(m_u, m_c, theta13_pmns_deg)",0.5837659208945237,7/12,0.583333333333333,0.0007415786763268963,0.07415786763268963,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_e, alpha_em_MZ, G_F)",0.6368452075692337,7/11,0.636363636363636,0.0007567547516534723,0.07567547516534723,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_tau, theta23_pmns_deg, G_F)",0.7267190588550292,8/11,0.727272727272727,0.0007612940743344374,0.07612940743344374,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_tau, m_u, M_Z)",0.7783764469007286,7/9,0.777777777777778,0.0007697174437936158,0.07697174437936158,1.0,Raw prompt-unit triple scan.
koide_mass_only,"Q(m_tau, m_u, M_Z)",0.7783764469007286,7/9,0.777777777777778,0.0007697174437936158,0.07697174437936158,1.0,
koide_raw_all,"Q(m_d, m_t, M_H)",0.5003864162330736,1/2,0.5,0.000772832466147122,0.0772832466147122,1.0,Raw prompt-unit triple scan.
koide_mass_only,"Q(m_d, m_t, M_H)",0.5003864162330736,1/2,0.5,0.000772832466147122,0.0772832466147122,1.0,
koide_raw_all,"Q(m_tau, dm2_32_abs, theta13_pmns_deg)",0.5559864053904754,5/9,0.555555555555556,0.0007755297028548596,0.07755297028548595,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=-0.5, q=0.5, r=1](all_masses)",1.3989001598499728,7/5,1.4,0.0007856001071621893,0.07856001071621893,1.0,
sum_rules,"S[p=0.5, q=-0.5, r=1](all_masses)",0.7148472983999419,5/7,0.714285714285714,0.0007862177599190726,0.07862177599190726,1.0,
koide_raw_all,"Q(m_u, dm2_32_abs, theta13_ckm_deg)",0.7005536092052042,7/10,0.7,0.0007908702931488535,0.07908702931488536,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_e, theta23_ckm_deg, sin2_thetaW)",0.6245055490608556,5/8,0.625,0.0007911215026309648,0.07911215026309648,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, theta12_ckm_deg, G_F)",0.8468281982265686,11/13,0.846153846153846,0.0007969615404903396,0.07969615404903395,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_d, theta13_pmns_deg, M_H)",0.6661286940304552,2/3,0.666666666666667,0.0008069589543177044,0.08069589543177044,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_tau, dm2_32_abs, alpha_s_MZ)",0.6368772513019607,7/11,0.636363636363636,0.0008071091887959439,0.08071091887959439,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, theta12_pmns_deg, alpha_em_MZ)",0.8742924225653822,7/8,0.875,0.0008086599252774869,0.08086599252774869,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_d, theta12_pmns_deg, M_H)",0.5458999799937234,6/11,0.545454545454545,0.0008166299884938192,0.08166299884938191,1.0,Raw prompt-unit triple scan.
