galaxy,R_kpc,Vobs_kms,e_Vobs_kms,gobs_mps2,gbar_mps2,gpred_mps2,log10_gobs,log10_gbar,log10_gpred,delta_dex
DDO064,0.1,6.29,4.62,1.282185158855058e-11,2.0867377844732273e-13,5.109145695442012e-12,-10.892049254331601,-12.680532120130014,-11.291651712541007,0.3996024582094062
DDO064,0.3,13.9,4.62,2.087169888378486e-11,1.5021606149444357e-12,1.4191149969309265e-11,-10.68044219943361,-11.8232836289465,-10.847982410385406,0.1675402109517954
DDO064,0.49,15.6,4.62,1.6095429548554707e-11,3.0651720418858303e-12,2.0752042930294614e-11,-10.79329742854173,-11.513545144393598,-10.682939142822699,-0.11035828571903039
DDO064,0.69,18.4,4.62,1.5901423713540355e-11,4.841597445327252e-12,2.660555574323729e-11,-10.798563989940321,-11.315011322812676,-10.575027664997085,-0.22353632494323605
DDO064,0.89,22.5,4.62,1.8434208036867528e-11,4.311682061003601e-12,2.497037719228428e-11,-10.734375515644325,-11.365353271068651,-10.602574897324645,-0.13180061831968004
DDO064,1.09,26.5,4.62,2.0879240880846838e-11,4.737631319610531e-12,2.6290778439820685e-11,-10.680285295289146,-11.32443873890423,-10.58019655474135,-0.10008874054779504
DDO064,1.29,35.3,4.62,3.1304671820028905e-11,5.944993554533056e-12,2.9792209662215715e-11,-10.504390844745743,-11.225848611900167,-10.525897284347282,0.02150643960153964
DDO064,1.48,40.5,4.62,3.591681236156162e-11,7.744634789223781e-12,3.452144175300858e-11,-10.444702214187759,-11.11099905728044,-10.46191107470942,0.01720886052166115
DDO064,1.68,44.2,4.89,3.7686405065655297e-11,8.626159705960875e-12,3.667916025527031e-11,-10.423815288249818,-11.064182505525162,-10.435580615768565,0.011765327518746815
DDO064,1.88,46.3,4.62,3.695333061164357e-11,8.975776092083997e-12,3.7511297795096823e-11,-10.432346412449911,-11.04692798977611,-10.425837910109498,-0.006508502340413003
DDO064,2.08,46.4,4.62,3.3544558552894904e-11,8.851917525465186e-12,3.721793222502771e-11,-10.474377919075138,-11.052962641107435,-10.429247759313965,-0.045130159761173516
DDO064,2.27,46.3,4.62,3.060452050655943e-11,8.323025763565968e-12,3.5947178136940334e-11,-10.514214420379355,-11.079718761025202,-10.444335196175565,-0.06987922420379
DDO064,2.37,46.4,6.73,2.94399501223719e-11,8.165042914574582e-12,3.556164661542399e-11,-10.53106293012248,-11.088041528316909,-10.44901813804389,-0.08204479207859094
DDO064,2.98,46.9,8.65,2.3920974942465505e-11,6.9557231955333596e-12,3.250822712517963e-11,-10.621221123868226,-11.157657709165642,-10.48800671462403,-0.13321440924419647
DDO154,0.49,13.8,1.6,1.2595387915954794e-11,5.936290849604431e-12,2.976805978123146e-11,-10.89978845244818,-11.226484828873938,-10.526249470820677,-0.37353898162750276
DDO154,0.99,21.6,0.8,1.527290894225417e-11,5.286819105719595e-12,2.7923477273779854e-11,-10.816078237517827,-11.27680554919992,-10.55403050056243,-0.26204773695539707
DDO154,1.48,28.9,0.7,1.8288724799573165e-11,4.423404248776829e-12,2.532171283148537e-11,-10.737816575104,-11.35424336924658,-10.596506920767514,-0.1413096543364869
DDO154,1.97,34.3,0.5,1.9354032620499498e-11,4.014095030530957e-12,2.4015662638332055e-11,-10.71322853129819,-11.396412350147818,-10.619505425839474,-0.0937231054587162
DDO154,2.47,38.2,0.4,1.914605170173601e-11,3.5421468342912323e-12,2.2438688071200244e-11,-10.717920772658386,-11.450733439757833,-10.649002538685677,-0.06891823397270969
DDO154,2.96,42.0,0.2,1.9313292792499527e-11,3.332668520594529e-12,2.171060076071854e-11,-10.714143675485277,-11.477207880709647,-10.663328158882974,-0.050815516602302324
DDO154,3.46,44.6,0.2,1.8631296333500446e-11,3.2294314104035377e-12,2.1344671153724204e-11,-10.729756926590632,-11.490873934963405,-10.670710531758283,-0.059046394832348525
DDO154,3.95,46.3,0.2,1.7587914316427825e-11,2.8794081953829544e-12,2.006526834450152e-11,-10.754785658812692,-11.54069676359151,-10.697555027818655,-0.05723063099403625
DDO154,4.44,47.4,0.3,1.639921909088293e-11,2.4241791836025255e-12,1.829662754504737e-11,-10.785176831988588,-11.615435282371356,-10.737628952540064,-0.047547879448524455
DDO154,4.94,48.2,0.6,1.5241109466414423e-11,2.0360553421301167e-12,1.667107383332167e-11,-10.816983417668085,-11.6912104215931,-10.778036425075056,-0.03894699259302925
DDO154,5.43,47.4,0.7,1.3409306217959525e-11,1.7098521627259026e-12,1.519611496997403e-11,-10.872593691462814,-11.767041437963357,-10.818267429342349,-0.05432626212046543
DDO154,5.92,45.5,1.3,1.1333147506709792e-11,1.4463258562851105e-12,1.391057551882207e-11,-10.945649458630834,-11.839733849750058,-10.85665490167739,-0.08899455695344471
DDO161,0.6,16.0,3.53,1.3827324968295958e-11,6.793021774449004e-12,3.208212278943299e-11,-10.859261830293933,-11.167936993313308,-10.493736903316927,-0.365524926977006
