galaxy,R_kpc,Vobs_kms,e_Vobs_kms,gobs_mps2,gbar_mps2,gpred_mps2,log10_gobs,log10_gbar,log10_gpred,delta_dex
NGC2915,5.69,82.4,8.33,3.867155287925795e-11,2.8264305640285926e-12,1.9865963114926145e-11,-10.412608388222978,-11.548761679239645,-10.701890375216795,0.28928198699381724
NGC2915,6.03,80.9,7.88,3.5174601494773424e-11,2.5512801168590076e-12,1.8803875238250635e-11,-10.453770814137744,-11.593241855569953,-10.725752638972779,0.2719818248350343
NGC2915,6.36,79.0,6.15,3.180142066890296e-11,2.3876989188210317e-12,1.814892323976273e-11,-10.49755347828967,-11.622020437232099,-10.741149136187163,0.24359565789749382
NGC2915,6.69,81.4,6.11,3.209756941806694e-11,2.3071798062075726e-12,1.7819398693263132e-11,-10.493527853211559,-11.636918558144352,-10.749106955102949,0.25557910189139044
NGC2915,7.02,79.7,5.59,2.932438990981006e-11,2.279682565284588e-12,1.7705724224966404e-11,-10.532771014559719,-11.642125622185073,-10.751886304405794,0.21911528984607465
NGC2915,7.36,77.5,6.33,2.6446916585903828e-11,2.2447370030771012e-12,1.7560392719358384e-11,-10.577624954547016,-11.64883453430569,-10.755465775790787,0.17784082124377143
NGC2915,7.7,79.9,6.41,2.686904856052691e-11,2.12238256873327e-12,1.7043587577297928e-11,-10.570747711766638,-11.67317632990004,-10.768438983452505,0.19769127168586742
NGC2915,8.03,81.5,7.86,2.680705633289145e-11,2.0498707922800196e-12,1.6731148253739398e-11,-10.571750873020866,-11.688273512587303,-10.77647425251338,0.2047233794925134
NGC2915,8.37,82.2,7.82,2.616180063809948e-11,1.997191025931134e-12,1.6501111272367818e-11,-10.582332368135297,-11.699580394047603,-10.782486807106954,0.20015443897165675
NGC2915,8.7,82.0,7.09,2.5047126370372315e-11,1.9406015474763322e-12,1.6251010672766707e-11,-10.601242093073324,-11.71206362663964,-10.7891196244724,0.18787753139907615
NGC2915,9.03,84.7,5.74,2.5747112173432922e-11,1.9050492179106023e-12,1.609224107972805e-11,-10.58927147487423,-11.720093799625703,-10.79338346983609,0.20411199496185972
NGC2915,9.37,86.1,5.54,2.5639890540343504e-11,1.8449030172874238e-12,1.5820634546675748e-11,-10.591083833202607,-11.734026458862074,-10.800776101458247,0.20969226825564036
NGC2915,9.7,85.3,5.23,2.4309486371271396e-11,1.8047138112732175e-12,1.563696559797141e-11,-10.614224217153337,-11.743591658045956,-10.80584751930127,0.19162330214793322
NGC2915,10.04,86.5,6.45,2.4151713982515043e-11,1.7278390700468717e-12,1.528052241923268e-11,-10.617052043101511,-11.762496709915759,-10.81586179759858,0.19880975449706817
NGC2955,0.75,169.0,4.27,1.2341319638109402e-09,8.664065958703319e-10,9.297044034627028e-10,-8.908638399386492,-9.062278250127907,-9.03165511203877,0.12301671265227831
NGC2955,1.55,203.0,4.92,8.616082176691151e-10,7.757238255941269e-10,8.419595799226761e-10,-9.064690167566004,-9.110292869423223,-9.074708757238946,0.010018589672942113
NGC2955,2.3,232.0,5.49,7.583987151089284e-10,6.572995296751655e-10,7.273334675925797e-10,-9.120102411457932,-9.182236678475077,-9.138266428300458,0.01816401684252611
NGC2955,3.06,256.0,4.38,6.940774886046598e-10,6.050200860942719e-10,6.766691094085911e-10,-9.15859204108002,-9.218230206942405,-9.16962364902208,0.011031607942060262
NGC2955,3.85,248.0,3.47,5.177165958908733e-10,5.239955788278244e-10,5.979846023558872e-10,-9.285907913078207,-9.28067237732692,-9.223309998616884,-0.0625979144613229
NGC2955,4.61,253.0,5.68,4.499762289328511e-10,4.4855408380296953e-10,5.244153271174915e-10,-9.34681042826015,-9.348185184992023,-9.28032462364619,-0.06648580461396136
NGC2955,5.36,269.0,8.42,4.375112503050069e-10,3.825022214106895e-10,4.59592569615234e-10,-9.359010774910093,-9.417366038304865,-9.337627001309226,-0.021383773600867073
NGC2955,6.12,268.0,4.67,3.80336162884072e-10,3.2932793489151443e-10,4.0697069166183647e-10,-9.419832379310122,-9.482371429158478,-9.390436865732648,-0.02939551357747483
NGC2955,6.91,260.0,5.58,3.170429521945573e-10,2.8790732429413035e-10,3.655837027323899e-10,-9.498881896654702,-9.540747286632639,-9.437013172815533,-0.06186872383916864
NGC2955,7.66,245.0,8.47,2.539527112909896e-10,2.5918830924499486e-10,3.366097290421258e-10,-9.595247146125677,-9.586384591323402,-9.472873335751023,-0.12237381037465411
NGC2955,8.42,247.0,6.0,2.348179378500134e-10,2.3049079711308576e-10,3.0736007547396853e-10,-9.629268730202456,-9.637346410156301,-9.512352545838954,-0.11691618436350204
NGC2955,8.86,267.0,10.3,2.6075836880948006e-10,2.1441220146234367e-10,2.90811627644276e-10,-9.58376174438004,-9.668750504067937,-9.536388232885935,-0.04737351149410429
NGC2955,9.21,255.0,7.27,2.2880746286223653e-10,2.021103049317857e-10,2.7805771665647837e-10,-9.640529814551076,-9.694411542689958,-9.555865047881365,-0.0846647666697109
NGC2955,10.82,253.0,11.2,1.917181529926473e-10,1.5779072583231405e-10,2.3125725887284038e-10,-9.717336763641054,-9.801918526083586,-9.63590462642053,-0.08143213722052423
NGC2955,11.56,271.0,11.3,2.0588760535993392e-10,1.4253824713917302e-10,2.1475008470166938e-10,-9.686369797557838,-9.846068586232663,-9.668066656202376,-0.01830314135546196
NGC2955,12.4,276.0,8.71,1.9908838963928545e-10,1.2794269125230307e-10,1.98697361129179e-10,-9.700954066253939,-9.89298451821333,-9.701807900653879,0.0008538343999404674
NGC2955,14.17,275.0,10.1,1.7295972742712075e-10,1.0777394314317787e-10,1.7599638059073059e-10,-9.762055007809073,-9.967486227247782,-9.754496263467876,-0.0075587443411961885
NGC2955,16.88,275.0,10.0,1.4519190388876195e-10,8.413407287561573e-11,1.4834950423324548e-10,-9.838057599851249,-10.07502808666277,-9.82871390070626,-0.009343699144988449
NGC2955,19.49,276.0,11.7,1.2666475277204412e-10,7.077775664315063e-11,1.3203397522761817e-10,-9.897344220209325,-10.150103206786675,-9.879314300951055,-0.0180299192582698
NGC2955,22.19,267.0,15.7,1.0411532887120295e-10,5.811789889434666e-11,1.1591390634228307e-10,-9.982485324724996,-10.235690094908866,-9.935864458036212,-0.046620866688783735
NGC2955,24.8,257.0,15.1,8.631057713246406e-11,4.8242763966930016e-11,1.0273984641395947e-10,-10.063935979385766,-10.316567818173073,-9.98826108783905,-0.0756748915467167
NGC2955,27.51,254.0,13.6,7.6002223423407e-11,3.984834783713458e-11,9.097780602544002e-11,-10.119173702371945,-10.399589680292717,-10.041064540604918,-0.07810916176702776
NGC2955,30.12,248.0,11.6,6.617559409627697e-11,3.3586931426766534e-11,8.175304195376279e-11,-10.17930215109837,-10.473829672410146,-10.087496078678019,-0.09180607242035066
NGC2955,35.43,227.0,11.2,4.713353542358981e-11,2.5314911400676795e-11,6.87391411222616e-11,-10.32666998316907,-10.596623588255987,-10.162795898561795,-0.1638740846072757
NGC2976,0.11,6.8,3.62,1.362305766762795e-11,2.147275541600048e-11,6.225257451897028e-11,-10.865725404967892,-10.668112222672166,-10.205842683167777,-0.6598827218001144
NGC2976,0.17,9.5,4.31,1.7204725345432585e-11,2.33134799255897e-11,6.540281506488501e-11,-10.764352256022717,-10.632392895948271,-10.184403558390802,-0.5799486976319148
NGC2976,0.24,14.0,3.11,2.6466364197128984e-11,2.654955770213843e-11,7.075582701775817e-11,-10.577305715577268,-10.57594270957764,-10.150237788489871,-0.42706792708739627
NGC2976,0.31,19.8,5.5,4.098435847205706e-11,2.8813763435386473e-11,7.438059724363558e-11,-10.387381858533349,-10.540400013761321,-10.12854033876847,-0.25884151976487857
NGC2976,0.38,26.1,3.9,5.8096085783220946e-11,3.035079778831763e-11,7.679183613233769e-11,-10.235853127162386,-10.51782988875642,-10.114684948082228,-0.12116817908015776
NGC2976,0.45,28.7,3.5,5.93199442871651e-11,3.1806902002058393e-11,7.9042559881454e-11,-10.226799265529497,-10.497478629192923,-10.102139003081522,-0.1246602624479749
NGC2976,0.52,28.7,2.7,5.1334567171585175e-11,3.352895607029658e-11,8.166543557712551e-11,-10.289590095388952,-10.47457996819264,-10.087961717205223,-0.20162837818372914
NGC2976,0.59,31.7,2.5,5.51970627147415e-11,3.540299252074942e-11,8.447557278338058e-11,-10.25808403242878,-10.45096002666575,-10.07326885482601,-0.18481517760277022
NGC2976,0.66,35.5,2.3,6.188169847761001e-11,3.7168519766859847e-11,8.708413892862535e-11,-10.208437774653818,-10.429824734300707,-10.060060938023843,-0.14837683662997492
NGC2976,0.73,39.4,2.1,6.891583750358705e-11,3.882909517566712e-11,8.950578417526527e-11,-10.161680961691445,-10.410842729587698,-10.048148898156377,-0.11353206353506806
NGC2976,0.8,42.9,2.3,7.455453265107879e-11,4.03718135514958e-11,9.17297357847085e-11,-10.127525947844633,-10.39392174110946,-10.037489857418036,-0.09003609042659733
NGC2976,0.87,46.0,2.6,7.882171237315261e-11,4.193366131212942e-11,9.395749173131906e-11,-10.103354134477609,-10.3774372168181,-10.02706858557033,-0.07628554890727912
NGC2976,0.94,49.1,3.1,8.311599062537628e-11,4.395348972486931e-11,9.680528046054542e-11,-10.0803154145759,-10.357006638039866,-10.014100952481588,-0.0662144620943117
NGC2976,1.01,49.2,3.2,7.767089088317434e-11,4.706256154569504e-11,1.0112134876144781e-10,-10.10974171347006,-10.327324438509656,-9.995157146382223,-0.11458456708783693
NGC2976,1.08,51.4,3.2,7.927786344018921e-11,5.0570984980942075e-11,1.059029365614506e-10,-10.100848062718537,-10.296098587446712,-9.975091997260296,-0.12575606545824058
NGC2976,1.14,57.2,3.1,9.301150272259345e-11,5.35441383634667e-11,1.098886319178478e-10,-10.031463338972562,-10.27128806574226,-9.959047233424673,-0.07241610554788913
NGC2976,1.21,63.8,2.9,1.0901981529690846e-10,5.781260055314192e-11,1.1551544909303302e-10,-9.962494558096264,-10.237977494550204,-9.937359929129657,-0.025134628966606343
NGC2976,1.29,67.8,2.8,1.1548328580534445e-10,6.263212581601618e-11,1.217484119825712e-10,-9.937480867787261,-10.203202847527539,-9.914536694767984,-0.02294417301927787
NGC2976,1.35,69.8,3.3,1.1695708392107055e-10,6.622575208254636e-11,1.2632196303571723e-10,-9.931973468470822,-10.17897310100438,-9.898521134037162,-0.033452334433659914
NGC2976,1.42,71.7,3.9,1.1732739324867356e-10,6.965624310061448e-11,1.30634617886239e-10,-9.930600578269594,-10.157039952856127,-9.88394172072743,-0.046658857542164256
NGC2976,1.49,74.1,4.4,1.1942619684747662e-10,7.273703130615479e-11,1.3446678482276384e-10,-9.922900397675756,-10.138244428242341,-9.871384979227756,-0.051515418448000005
NGC2976,1.56,76.7,4.8,1.2221248765435488e-10,7.551103411639996e-11,1.3788657187251993e-10,-9.912884415678638,-10.1219895820698,-9.860478025670572,-0.05240639000806624
NGC2976,1.63,79.9,4.4,1.2692740731046454e-10,7.688501431702113e-11,1.3957018786231426e-10,-9.896444590998113,-10.11415830042798,-9.855207336938902,-0.04123725405921164
NGC2976,1.74,83.6,3.35,1.3017055645261546e-10,7.678480715780508e-11,1.394476205812008e-10,-9.885487238626705,-10.114724702107186,-9.855588891776353,-0.029898346850352198
NGC2976,1.93,83.9,3.95,1.18199616487304e-10,6.631690282170634e-11,1.2643720600126544e-10,-9.927383932572512,-10.178375764708258,-9.898125109729325,-0.029258822843187815
NGC2976,2.1,88.7,4.44,1.2141641337032635e-10,5.7712404075120845e-11,1.1538456690470948e-10,-9.915722600292606,-10.238730834289282,-9.937852275724008,0.022129675431402873
NGC2976,2.27,85.3,5.36,1.0387754088164427e-10,5.145158708831773e-11,1.070894925686268e-10,-9.983478340080215,-10.28860122434046,-9.970253139283265,-0.01322520079694911
NGC2998,0.33,90.0,20.0,7.954640074090713e-10,9.749803963838301e-11,1.6414073493123167e-10,-9.099379466221377,-10.011004116432662,-9.784783626378449,0.6854041601570717
NGC2998,0.99,125.0,15.0,5.114866302784667e-10,1.4227846169973802e-10,2.144667021568045e-10,-9.291165713803576,-9.846860839008656,-9.668640126286274,0.3774744124826981
NGC2998,1.98,148.0,15.0,3.5851530078782514e-10,1.4299110497359378e-10,2.1524388743224943e-10,-9.445492304693754,-9.844690977786941,-9.667069172938827,0.22157686824507294
NGC2998,2.64,180.0,17.0,3.9773200370453566e-10,1.4697677615514896e-10,2.1957973486722367e-10,-9.400409461885358,-9.832751282833256,-9.658407743645686,0.2579982817603277
NGC2998,3.63,201.0,15.0,3.6069069992518403e-10,1.7303945899648328e-10,2.4753303364908124e-10,-9.442865055417274,-9.761854851377619,-9.60636683562253,0.16350178020525696
NGC2998,7.59,206.0,10.0,1.8119329371127943e-10,1.0602956148292259e-10,1.7399924434006966e-10,-9.741857880379312,-9.974573034744232,-9.759452637807346,0.017594757428033958
NGC2998,12.5,214.0,5.0,1.1873178267151532e-10,6.15821479015829e-11,1.2040058668810253e-10,-9.925433011531814,-10.21054516756765,-9.91937139684244,-0.00606161468937394
NGC2998,17.48,212.0,5.0,8.332584919038189e-11,4.0394869211789936e-11,9.176279180653721e-11,-10.07922025166302,-10.393673793664505,-10.037333381857778,-0.04188686980524281
NGC2998,22.46,213.0,2.0,6.54634530644708e-11,2.625840567954496e-11,7.028293614734903e-11,-10.184001090270101,-10.580731646319494,-10.153150103665702,-0.03085098660439911
NGC2998,27.44,214.0,2.0,5.408700012368592e-11,1.965380869243856e-11,5.905187403011212e-11,-10.26690710555847,-10.706553275628181,-10.22876631535746,-0.03814079020101069
NGC2998,32.32,213.0,2.0,4.549223873230242e-11,1.5555602816104496e-11,5.144852191445191e-11,-10.34206269044721,-10.808113154299088,-10.28862709774544,-0.05343559270177067
NGC2998,37.3,213.0,3.0,3.9418476027560705e-11,1.2265031404022005e-11,4.482281689040833e-11,-10.40430017015335,-10.911331335466075,-10.348500853701925,-0.05579931645142544
NGC2998,42.28,203.0,3.0,3.158686701483274e-11,9.666873977360176e-12,3.912091117168891e-11,-10.5004934480311,-11.014713943069864,-10.407591038541181,-0.09290240948991979
NGC3109,0.26,6.1,1.6,4.638053744624032e-12,6.06299946912126e-13,8.836453435241078e-12,-11.333664223171422,-12.217312469792036,-11.053722006769537,-0.279942216401885
NGC3109,0.52,11.2,0.7,7.817756808998099e-12,9.772725754016091e-13,1.1325237156685278e-11,-11.106917843516575,-12.009984288397273,-10.945952694854967,-0.16096514866160838
NGC3109,0.77,14.9,1.5,9.343966364279786e-12,1.8948415624954e-12,1.6046415041391892e-11,-11.029468733570072,-11.722427097785943,-10.794621978938014,-0.2348467546320574
NGC3109,1.03,19.1,2.2,1.1478336821186398e-11,2.506590180583724e-12,1.862679599758926e-11,-10.940121035431856,-11.600916665985956,-10.729861841842066,-0.21025919358979017
NGC3109,1.29,24.3,0.9,1.4834478780031032e-11,3.116847116175199e-12,2.0939905103164813e-11,-10.828727708324763,-11.50628449968975,-10.67902529081693,-0.1497024175078323
NGC3109,1.55,29.8,1.9,1.856736542063338e-11,3.5519526443407703e-12,2.2472318980338904e-11,-10.731249715239919,-11.44953283299439,-10.648352109227543,-0.08289760601237539
NGC3109,1.81,34.3,1.6,2.1064886332808845e-11,3.875859229570359e-12,2.3562194706663506e-11,-10.676440880005782,-11.41163200482329,-10.62778425953004,-0.048656620475741263
NGC3109,2.06,38.2,3.5,2.2956673642372795e-11,4.036381952436894e-12,2.4088159512772384e-11,-10.639091039767875,-11.394007744321387,-10.618196381570046,-0.020894658197828875
NGC3109,2.32,42.5,5.6,2.5231282722236573e-11,3.953829657272924e-12,2.3818782050087188e-11,-10.598060670012416,-11.402982045315719,-10.623080449505204,0.025019779492788885
NGC3109,2.58,42.3,3.0,2.2475558041898867e-11,3.80314305234122e-12,2.3320948814121926e-11,-10.648289516435284,-11.41985733862366,-10.632253784258008,-0.01603573217727572
NGC3109,2.84,47.3,4.4,2.553015174817248e-11,3.658376523278635e-12,2.2834842277396945e-11,-10.592946603793553,-11.436711598595245,-10.641401983763254,0.04845537996970073
NGC3109,3.1,49.3,4.0,2.5408650500650434e-11,3.541524652917476e-12,2.24365528595389e-11,-10.595018400501951,-11.4508097306865,-10.649043867071828,0.05402546656987717
NGC3109,3.35,50.6,3.5,2.4768840780662015e-11,3.4997098154965463e-12,2.2292688028230907e-11,-10.606094318579386,-11.455967964436368,-10.651837561603056,0.04574324302367039
NGC3109,3.61,53.0,3.5,2.5217033307615572e-11,3.4384749056056245e-12,2.208069410323238e-11,-10.598306007926219,-11.463634140842613,-10.655987278747833,0.05768127082161456
NGC3109,3.87,54.7,3.3,2.5056080889285763e-11,3.157484981125627e-12,2.108671286656005e-11,-10.601086857574188,-11.500658706530281,-10.675991115622248,0.07490425804805945
NGC3109,4.13,55.2,3.1,2.390988892520232e-11,2.9023352134705963e-12,2.0151033880017978e-11,-10.621422441420142,-11.537252428923422,-10.695702666799892,0.07428022537975032
NGC3109,4.38,57.5,2.6,2.4463074259647108e-11,2.819943011447514e-12,1.9841446913428076e-11,-10.611488966346977,-11.549759668299064,-10.702426660629175,0.09093769428219822
NGC3109,4.64,59.1,2.4,2.439531532319865e-11,2.751653500083976e-12,1.958189924248677e-11,-10.612693564014508,-11.560406255202457,-10.708145188399557,0.09545162438504917
NGC3109,4.9,61.2,1.9,2.4771723228278576e-11,2.7117759732001423e-12,1.942905677546099e-11,-10.60604378095953,-11.566746191509143,-10.711548282630051,0.10550450167052183
NGC3109,5.16,62.7,1.9,2.469078142015453e-11,2.6716843149128934e-12,1.9274415926796895e-11,-10.607465165187916,-11.573214859217034,-10.7150187735163,0.10755360832838434
NGC3109,5.42,64.4,2.9,2.479829961968632e-11,2.6802422645328553e-12,1.9307508888832046e-11,-10.605578097040901,-11.571825948734444,-10.714273756548126,0.10869565950722482
NGC3109,5.67,66.6,3.2,2.535215341285335e-11,2.6883610243899853e-12,1.9338861516988726e-11,-10.595985145774442,-11.570512409586932,-10.713569096511707,0.11758395073726469
NGC3109,5.93,66.3,3.4,2.4022700024987694e-11,2.5785894363171635e-12,1.8911426099539084e-11,-10.619378181776854,-11.588617800838449,-10.723275720028171,0.1038975382513172
NGC3109,6.19,66.2,3.2,2.2944298528647113e-11,2.4292030783667636e-12,1.8316892945299135e-11,-10.639325215362856,-11.614536177196744,-10.7371481928489,0.09782297748604485
NGC3109,6.45,67.3,3.0,2.27572546168798e-11,2.293066394341715e-12,1.7761127521879606e-11,-10.642880131409452,-11.639583370355632,-10.750529467555884,0.1076493361464319
NGC3198,0.32,24.4,35.9,6.029469868011241e-11,2.0276940265988402e-10,2.7874325127540747e-10,-10.219720870864585,-9.692997578226786,-9.554795638631965,-0.6649252322326191
NGC3198,0.64,43.3,16.3,9.493913565603666e-11,1.3737348444717473e-10,2.091009434030774e-10,-10.022554726499294,-9.862097085832218,-9.67964400776661,-0.34291071873268386
NGC3198,0.96,45.5,16.1,6.988774295804373e-11,1.0528887489155918e-10,1.7314941052094729e-10,-10.155598984947481,-9.977617515124637,-9.761578982647212,-0.39402000230026957
NGC3198,1.28,58.5,15.4,8.66465384632889e-11,8.658368506808543e-11,1.5127983533665313e-10,-10.062248782705646,-10.062563934223055,-9.820218956878655,-0.24202982582699128
NGC3198,1.61,68.8,7.61,9.527971627222072e-11,7.138826260137559e-11,1.327936293414019e-10,-10.020999544782965,-10.146373187474339,-9.8768227593674,-0.14417678541556533
NGC3198,1.93,76.9,10.3,9.929898867280359e-11,5.807580510662012e-11,1.1585899838891903e-10,-10.00305517462705,-10.236004760848626,-9.936070230334163,-0.06698494429288715
NGC3198,2.24,82.0,8.09,9.728124974207102e-11,5.480041891655295e-11,1.1155588018811934e-10,-10.011970858788867,-10.261216121580377,-9.952507532812263,-0.059463325976604864
NGC3198,2.57,86.9,7.6,9.522607505821386e-11,4.982971227853447e-11,1.0490001195724504e-10,-10.0212441156561,-10.302511620479065,-9.979224462302483,-0.04201965335361635
NGC3198,2.89,97.6,3.03,1.068196737862199e-10,4.436924348545352e-11,9.738703605031695e-11,-9.971348752645303,-10.35291797612667,-10.011498851607344,0.040150098962040914
NGC3198,3.21,100.0,5.31,1.0095885636898334e-10,4.441037184410386e-11,9.744450649279876e-11,-9.99585557762701,-10.352515590501929,-10.011242639533668,0.015387061906658062
NGC3198,3.54,107.0,7.51,1.0481266125663427e-10,4.6896018039410487e-11,1.0089210426874135e-10,-9.979586251877507,-10.328864031846297,-9.996142819954278,0.016556568076770972
NGC3198,3.85,113.0,7.32,1.0748444349848076e-10,4.9575590116920654e-11,1.0455530927708846e-10,-9.968654387763799,-10.304732107521106,-9.980653908985019,0.011999521221220277
NGC3198,4.17,117.0,5.21,1.0638615753765927e-10,5.186482905657964e-11,1.0764452280480902e-10,-9.973114876703573,-10.28512704917509,-9.96800806315739,-0.00510681354618292
NGC3198,4.5,119.0,5.67,1.0198372337293702e-10,5.2362026801300225e-11,1.0831082982803762e-10,-9.991469136212421,-10.280983551357632,-9.965328116787335,-0.026141019425086398
NGC3198,4.82,127.0,5.39,1.0844508124366838e-10,5.30259070741974e-11,1.0919802383504913e-10,-9.964790141549074,-10.275511893599724,-9.961785221020468,-0.003004920528605126
NGC3198,5.15,132.0,4.34,1.0964531716364779e-10,5.2912300367498075e-11,1.0904640215839421e-10,-9.96000991185163,-10.276443357061899,-9.962388658820105,0.002378746968474843
NGC3198,5.46,134.0,2.36,1.065777159730092e-10,5.291923612788105e-11,1.0905566110592771e-10,-9.97233359119726,-10.276386433340177,-9.962351785167796,-0.00998180602946519
NGC3198,5.78,137.0,0.89,1.0523561675360083e-10,5.258336724721164e-11,1.0860693789094434e-10,-9.977837249329854,-10.279151606703229,-9.964142430810597,-0.013694818519256913
NGC3198,6.1,140.0,2.84,1.0412995749690091e-10,5.2102516801215146e-11,1.0796325506477938e-10,-9.98242430887643,-10.283141297689344,-9.966724030049562,-0.015700278826868086
NGC3198,6.43,142.0,0.88,1.0162841927271568e-10,5.1274286137370434e-11,1.0685101010162011e-10,-9.992984829380248,-10.290100377351775,-9.971221367936165,-0.02176346144408292
NGC3198,6.74,144.0,1.23,9.970445006812812e-11,4.936189657005448e-11,1.042650929108092e-10,-10.00128545756696,-10.306608162303712,-9.981861065433925,-0.019424392133034374
NGC3198,7.06,146.0,1.57,9.784766477874801e-11,4.6351767708815157e-11,1.0014145242003514e-10,-10.009449534705068,-10.333933698595107,-9.999386114021268,-0.010063420683799507
NGC3198,8.04,147.0,3.0,8.710198963383494e-11,3.8184616204184636e-11,8.85694540157227e-11,-10.059971924474237,-10.418111570158736,-10.052716032511878,-0.007255891962358874
NGC3198,9.04,148.0,3.0,7.852436897786436e-11,3.210025208145413e-11,7.949226009627009e-11,-10.104995544907586,-10.493491557091868,-10.099675155131193,-0.005320389776393597
NGC3198,10.04,152.0,2.0,7.457665807103846e-11,2.829402836111842e-11,7.355650780372637e-11,-10.127397082141593,-10.548305215481971,-10.133378897671767,0.005981815530173407
NGC3198,11.04,155.0,2.0,7.052511089574355e-11,2.5703051621067556e-11,6.937637553510005e-11,-10.151656222274735,-10.59001531155145,-10.158788392966473,0.0071321706917384375
NGC3198,12.05,156.0,2.0,6.545029442980752e-11,2.3442835365938606e-11,6.562112604433558e-11,-10.184088395424101,-10.629989862393215,-10.182956321486614,-0.0011320739374873767
NGC3198,14.05,157.0,2.0,5.685549374057947e-11,1.8833512278729195e-11,5.757658228778128e-11,-10.24522756464477,-10.725068680459758,-10.239754118159047,-0.005473446485723343
NGC3198,16.07,153.0,2.0,4.720809109309468e-11,1.448555560972449e-11,4.9353864179254844e-11,-10.325983560350286,-10.839064842289025,-10.306678838414234,-0.01930472193605226
NGC3198,18.13,153.0,2.0,4.18441270747949e-11,1.1684006061299551e-11,4.358969917461571e-11,-10.37836548768245,-10.932408226399938,-10.360616128166424,-0.017749359516026075
NGC3198,20.05,154.0,2.0,3.8333327495492554e-11,1.0074554651428161e-11,4.0050104310141866e-11,-10.416423480505413,-10.99677414287441,-10.39739634846214,-0.019027132043273554
NGC3198,22.12,153.0,2.0,3.4296294026493283e-11,8.594311089119228e-12,3.66027227665758e-11,-10.464752806219602,-11.06578893016775,-10.436486607542266,-0.028266198677336263
NGC3198,24.03,150.0,2.0,3.0344375369329255e-11,7.46045915985457e-12,3.38058989846301e-11,-10.517921797914676,-11.127234442707682,-10.471007510582087,-0.046914287332588955
NGC3198,26.1,149.0,2.0,2.7566490806495916e-11,6.615322737402857e-12,3.16121222871195e-11,-10.55961851573587,-11.179448963320155,-10.500146346721472,-0.059472169014398446
NGC3198,28.16,148.0,2.0,2.5208107086643953e-11,5.969789237162544e-12,2.986093993350491e-11,-10.598459764902298,-11.22404100132508,-10.52489652609827,-0.07356323880402726
NGC3198,30.08,146.0,2.0,2.2965575576394977e-11,5.327145752580456e-12,2.8040579737473462e-11,-10.638922665572869,-11.27350542060292,-10.552213011597571,-0.08670965397529784
NGC3198,32.14,147.0,2.0,2.1789047811326474e-11,4.708749508107603e-12,2.6202832722232273e-11,-10.661761748153111,-11.32709441215659,-10.58165175565991,-0.08010999249320072
NGC3198,34.06,148.0,2.0,2.084146493129459e-11,4.302691271858127e-12,2.494194106260641e-11,-10.681071758058806,-11.366259814442321,-10.603069751339596,-0.07800200671920976
NGC3198,36.12,148.0,2.0,1.9652832102987093e-11,4.002669453104116e-12,2.3978431560029518e-11,-10.706574856073692,-11.397650273152506,-10.620179227705124,-0.0863956283685674
NGC3198,38.19,149.0,2.0,1.8839628438060843e-11,3.7360835248395835e-12,2.309675388009032e-11,-10.724927666770908,-11.427583423134811,-10.63644905348567,-0.08847861328523798
NGC3198,40.1,150.0,2.0,1.818392369388983e-11,3.52078197351285e-12,2.2365277172680732e-11,-10.740312399730959,-11.453360868037459,-10.650425715250329,-0.08988668448063031
NGC3198,42.17,150.0,3.0,1.7291328909769553e-11,3.369849376611605e-12,2.1841211546781824e-11,-10.762171628125639,-11.472389510513926,-10.660723274690369,-0.10144835343526992
NGC3198,44.08,149.0,3.0,1.6322264293319954e-11,3.078882991310876e-12,2.080201898206264e-11,-10.78721959424132,-11.511606815544223,-10.681894511661465,-0.10532508257985462
NGC3521,0.51,143.0,33.1,1.2994254056832907e-09,1.2154466598520139e-09,1.2680439967244877e-09,-8.886248646389951,-8.915264095512734,-8.896865677682062,0.010617031292110113
NGC3521,0.69,160.0,15.0,1.2023760841996488e-09,1.0678904694789287e-09,1.124845809413388e-09,-8.919959670647543,-8.971473289386397,-8.948907005295144,0.028947334647600798
NGC3521,0.86,178.0,7.92,1.1939633837994799e-09,9.83440795408575e-10,1.0430085396463524e-09,-8.923008991847919,-9.007251780128275,-8.98171213576704,0.05870314391912146
NGC3521,1.03,188.0,8.01,1.1120592544283655e-09,9.219688579865613e-10,9.83482831493741e-10,-8.953872071399951,-9.035283748179568,-9.007233217089444,0.05336114568949313
NGC3521,1.2,187.0,8.03,9.443900914381667e-10,8.085333409853035e-10,8.737046551441594e-10,-9.024848578196766,-9.092302066657535,-9.05863535033833,0.033786772141564114
NGC3521,1.38,195.0,5.6,8.929755976892899e-10,7.206769999748474e-10,7.886924864338684e-10,-9.049160408898338,-9.142259337998,-9.103092296508644,0.05393188761030565
NGC3521,1.55,199.0,7.52,8.279877460728148e-10,6.606434136850034e-10,7.305721953550857e-10,-9.081976090573017,-9.180032890371635,-9.136336860503025,0.0543607699300086
NGC3521,1.71,203.0,6.87,7.809899049047536e-10,6.306614935521538e-10,7.015258283225626e-10,-9.107354579787867,-9.200203685018003,-9.153956334768948,0.0466017549810811
NGC3521,1.89,206.0,9.22,7.276492588722809e-10,5.909614309969802e-10,6.630332779024376e-10,-9.138077908657076,-9.228440862353558,-9.178464673636395,0.04038676497931881
NGC3521,2.06,211.0,12.0,7.004016249774398e-10,5.729340472089039e-10,6.455390744551866e-10,-9.154652854995906,-9.241895368576726,-9.19007746477375,0.035424609777845006
