property_key,property_label,n_galaxies,spearman_rho,p_value,significant_p_lt_0.01
Vmax_kms,Maximum rotation velocity,163,0.32354836076486143,2.5213333428716736e-05,1
Q,Quality flag,163,-0.3091805510104103,5.923990877425555e-05,1
T,Hubble type,163,-0.19636038523728466,0.011998967670705685,0
SBeff_Lsun_pc2,Effective surface brightness,163,0.17635184190754047,0.024331057282847318,0
Mbar_1e9Msun,Total baryonic mass,163,0.14878270459596213,0.05802943915513796,0
D_mpc,Distance,163,0.11894293226346545,0.13047063702641382,0
Rdisk_kpc,Disk scale length,163,0.10545931664477076,0.1803130493781267,0
gas_fraction,Gas fraction,163,-0.07363902882382607,0.3502038804508712,0
