property_key,property_label,n_galaxies,spearman_rho,p_value,significant_p_lt_0.01
Vmax_kms,Maximum rotation velocity,149,0.31949188363944114,7.13746155867586e-05,1
Q,Quality flag,149,-0.264819807514678,0.0010993442268969773,1
T,Hubble type,149,-0.20839958409597034,0.010757331522236492,0
SBeff_Lsun_pc2,Effective surface brightness,149,0.20069164611534565,0.014122015686109766,0
Mbar_1e9Msun,Total baryonic mass,149,0.16357699981861057,0.0462238878494351,0
gas_fraction,Gas fraction,149,-0.11189189189189191,0.17427900273876012,0
D_mpc,Distance,149,0.11082313518024299,0.1784559019079781,0
Rdisk_kpc,Disk scale length,149,0.10869709148423691,0.18698322787533378,0
